game_date,home_team,away_team,home_starter,away_starter,actual_game_total,actual_f5_total,actual_f3_total,actual_f1_total,actual_home_win,game_pk
2024-03-20,SD,LAD,YU DARVISH,TYLER GLASNOW,7.0,3.0,1.0,0.0,False,745444
2024-03-20,CIN,TEX,RHETT LOWDER,DANE DUNNING,9.0,8.0,7.0,1.0,False,747878
2024-03-20,CWS,CIN,MICHAEL SOROKA,LYON RICHARDSON,4.0,2.0,0.0,0.0,False,747879
2024-03-20,AZ,COL,TOMMY HENRY,PETER LAMBERT,6.0,3.0,1.0,0.0,True,747880
2024-03-20,LAA,SF,TYLER ANDERSON,JORDAN HICKS,7.0,2.0,1.0,1.0,False,747881
2024-03-20,ATH,CHC,PAUL BLACKBURN,MARK LEITER,4.0,3.0,3.0,0.0,True,747882
2024-03-20,KC,LAA,BRADY SINGER,ANDREW WANTZ,16.0,14.0,10.0,0.0,False,747883
2024-03-20,BAL,PHI,DEAN KREMER,TAIJUAN WALKER,17.0,8.0,8.0,5.0,True,747884
2024-03-20,ATL,TOR,RAISEL IGLESIAS,BOWDEN FRANCIS,19.0,10.0,5.0,3.0,True,747885
2024-03-20,WSH,STL,ZACH DAVIES,STEVEN MATZ,17.0,12.0,4.0,0.0,False,747886
2024-03-20,NYY,PIT,LUKE WEAVER,MARCO GONZALES,12.0,9.0,8.0,4.0,True,747887
2024-03-20,MIA,NYM,PATRICK MONTEVERDE,CHRISTIAN SCOTT,9.0,5.0,3.0,0.0,False,747888
2024-03-20,MIN,DET,LOUIS VARLAND,CASEY MIZE,15.0,8.0,5.0,1.0,False,747889
2024-03-21,LAD,SD,YOSHINOBU YAMAMOTO,JOE MUSGROVE,26.0,18.0,15.0,6.0,False,746175
2024-03-21,KC,CWS,ANDREW HOFFMANN,GARRETT CROCHET,6.0,4.0,4.0,1.0,False,747865
2024-03-21,MIL,SF,ROBERT GASSER,LANDEN ROUPP,13.0,7.0,3.0,0.0,False,747867
2024-03-21,CLE,KC,CARLOS CARRASCO,ALEC MARSH,13.0,8.0,2.0,1.0,True,747868
2024-03-21,COL,CHC,RYAN FELTNER,YENCY ALMONTE,7.0,3.0,2.0,0.0,False,747869
2024-03-21,ATL,NYY,CHARLIE MORTON,NÉSTOR CORTÉS,7.0,5.0,0.0,0.0,True,747870
2024-03-21,SEA,CIN,JHONATHAN DÍAZ,NICK MARTÍNEZ,13.0,6.0,6.0,5.0,True,747871
2024-03-21,WSH,MIN,TREVOR WILLIAMS,COLE SANDS,17.0,11.0,5.0,1.0,True,747872
2024-03-21,PIT,TOR,BAILEY FALTER,ID:694357,5.0,4.0,3.0,3.0,False,747873
2024-03-21,PHI,TB,CRISTOPHER SÁNCHEZ,RYAN PEPIOT,11.0,4.0,4.0,2.0,False,747874
2024-03-21,DET,NYM,MATT MANNING,DOM HAMEL,15.0,7.0,5.0,1.0,False,747875
2024-03-21,STL,HOU,ZACK THOMPSON,J. P. FRANCE,10.0,3.0,2.0,1.0,False,747876
2024-03-21,BOS,BAL,COOPER CRISWELL,ALBERT SUÁREZ,5.0,1.0,1.0,0.0,True,747877
2024-03-22,SEA,MIL,LUIS CASTILLO,FREDDY PERALTA,8.0,5.0,2.0,0.0,False,747848
2024-03-22,CLE,TEX,SHANE BIEBER,CODY BRADFORD,10.0,10.0,2.0,0.0,True,747849
2024-03-22,LAA,CWS,JOSÉ SORIANO,JONATHAN CANNON,2.0,1.0,0.0,0.0,True,747850
2024-03-22,AZ,SEA,RYNE NELSON,EMERSON HANCOCK,6.0,2.0,1.0,0.0,False,747851
2024-03-22,CHC,SF,JUSTIN STEELE,KEATON WINN,10.0,8.0,4.0,0.0,False,747852
2024-03-22,CWS,ATH,JAKE WOODFORD,JOE BOYLE,10.0,9.0,6.0,5.0,True,747853
2024-03-22,MIL,KC,BRYSE WILSON,COLE RAGANS,16.0,9.0,5.0,2.0,True,747854
2024-03-22,ATH,CIN,ALEX WOOD,GRAHAM ASHCRAFT,14.0,3.0,3.0,1.0,True,747855
2024-03-22,TEX,COL,JOSÉ UREÑA,KYLE FREELAND,5.0,0.0,0.0,0.0,False,747856
2024-03-22,SF,CHC,LOGAN WEBB,JAVIER ASSAD,24.0,22.0,12.0,9.0,False,747857
