date,game,home_team,away_team,home_sp,away_sp,home_sp_xwoba,away_sp_xwoba,blended_rl,signal,home_covers_rl,bet_win,actual_total,actual_home_win,vegas_ml_home,vegas_ml_away,vegas_total,home_score,away_score,edge,vegas_implied,season
2024-03-20,LAD @ SD,SD,LAD,YU DARVISH,TYLER GLASNOW,0.2978,0.2573,0.4399,HOME -1.5 *,0.0,0.0,7.0,0.0,175.0,-208.0,,2.0,5.0,0.0763,0.3636,2024
2024-03-20,TEX @ CIN,CIN,TEX,RHETT LOWDER,DANE DUNNING,0.326,0.3489,0.5946,,,,9.0,False,,,,,,,,2024
2024-03-20,COL @ AZ,AZ,COL,TOMMY HENRY,PETER LAMBERT,0.3854,0.3274,0.4117,,,,6.0,True,,,,,,,,2024
2024-03-20,SF @ LAA,LAA,SF,TYLER ANDERSON,JORDAN HICKS,0.3258,0.3382,0.5637,,,,7.0,False,,,,,,,,2024
2024-03-20,PHI @ BAL,BAL,PHI,DEAN KREMER,TAIJUAN WALKER,0.3308,0.3975,0.7123,,,,17.0,True,,,,,,,,2024
2024-03-20,TOR @ ATL,ATL,TOR,RAISEL IGLESIAS,BOWDEN FRANCIS,0.2388,0.2906,0.6731,,,,19.0,True,,,,,,,,2024
2024-03-20,PIT @ NYY,NYY,PIT,LUKE WEAVER,MARCO GONZALES,0.2861,0.3906,0.75,,,,12.0,True,,,,,,,,2024
2024-03-20,DET @ MIN,MIN,DET,LOUIS VARLAND,CASEY MIZE,0.3559,0.3381,0.5015,,,,15.0,False,,,,,,,,2024
2024-03-21,SD @ LAD,LAD,SD,YOSHINOBU YAMAMOTO,JOE MUSGROVE,0.2919,0.324,0.6189,AWAY +1.5 *,0.0,1.0,26.0,0.0,-208.0,175.0,,11.0,15.0,-0.0565,0.6753,2024
2024-03-21,SF @ MIL,MIL,SF,ROBERT GASSER,LANDEN ROUPP,0.2705,0.3133,0.6455,,,,13.0,False,,,,,,,,2024
2024-03-21,KC @ CLE,CLE,KC,CARLOS CARRASCO,ALEC MARSH,0.3347,0.3432,0.5484,,,,13.0,True,,,,,,,,2024
2024-03-21,CHC @ COL,COL,CHC,RYAN FELTNER,YENCY ALMONTE,0.3259,0.2857,0.4298,,,,7.0,False,,,,,,,,2024
2024-03-21,NYY @ ATL,ATL,NYY,CHARLIE MORTON,NESTOR CORTES,0.3313,0.2979,0.448,,,,7.0,True,,,,,,,,2024
2024-03-21,MIN @ WSH,WSH,MIN,TREVOR WILLIAMS,COLE SANDS,0.2838,0.29,0.5485,,,,17.0,True,,,,,,,,2024
2024-03-21,TB @ PHI,PHI,TB,CRISTOPHER SANCHEZ,RYAN PEPIOT,0.2979,0.2979,0.5508,,,,11.0,False,,,,,,,,2024
2024-03-21,BAL @ BOS,BOS,BAL,COOPER CRISWELL,ALBERT SUAREZ,0.3242,0.3159,0.5112,,,,5.0,True,,,,,,,,2024
2024-03-22,MIL @ SEA,SEA,MIL,LUIS CASTILLO,FREDDY PERALTA,0.3133,0.3062,0.5212,,,,8.0,False,,,,,,,,2024
2024-03-22,CWS @ LAA,LAA,CWS,JOSE SORIANO,JONATHAN CANNON,0.3192,0.3281,0.5699,,,,2.0,True,,,,,,,,2024
