date,game_pk,home_team,away_team,home_sp,away_sp,l1_xgb_raw,l1_cal,l2_stacker,team_log_odds,rolling_tie,home_form,away_form,f5_home_runs,f5_away_runs,f5_tie,actual_win
2026-03-25,823244,SF,NYY,LOGAN WEBB,MAX FRIED,0.4148,0.4014,0.3207,-1.7342,0.2083,0.0,0.0,0.0,7.0,0,0
2026-03-26,824218,HOU,LAA,HUNTER BROWN,JOSÉ SORIANO,0.6603,0.6638,0.6014,-0.0468,0.2041,0.0,0.0,0.0,0.0,1,0
2026-03-26,823649,NYM,PIT,FREDDY PERALTA,PAUL SKENES,0.8452,0.8167,0.8553,2.2573,0.2041,0.0,0.0,9.0,4.0,0,1
2026-03-26,823974,LAD,AZ,YOSHINOBU YAMAMOTO,ZAC GALLEN,0.871,0.8331,0.874,2.4245,0.2041,0.0,0.0,4.0,2.0,0,1
2026-03-26,824865,BAL,MIN,TREVOR ROGERS,JOE RYAN,0.7446,0.7411,0.7304,1.0531,0.2041,0.0,0.0,0.0,0.0,1,0
2026-03-26,823486,PHI,TEX,CRISTOPHER SÁNCHEZ,NATHAN EOVALDI,0.7668,0.7594,0.7386,0.9475,0.2041,0.0,0.0,5.0,0.0,0,1
2026-03-26,824541,CIN,BOS,ANDREW ABBOTT,GARRETT CROCHET,0.72,0.7198,0.5872,-0.2978,0.2041,0.0,0.0,0.0,0.0,1,0
2026-03-26,823325,SD,DET,NICK PIVETTA,TARIK SKUBAL,0.4486,0.4375,0.3579,-1.4315,0.2041,0.0,0.0,0.0,8.0,0,0
2026-03-26,824704,CHC,WSH,MATTHEW BOYD,CADE CAVALLI,0.6476,0.6513,0.6523,0.6605,0.2041,0.0,0.0,3.0,7.0,0,0
2026-03-26,823812,MIL,CWS,JACOB MISIOROWSKI,SHANE SMITH,0.9056,0.8533,0.8917,2.4787,0.2041,0.0,0.0,8.0,1.0,0,1
2026-03-26,823163,SEA,CLE,LOGAN GILBERT,TANNER BIBEE,0.844,0.816,0.8316,1.8153,0.2041,0.0,0.0,3.0,3.0,1,0
2026-03-26,823081,STL,TB,MATTHEW LIBERATORE,DREW RASMUSSEN,0.731,0.7295,0.5722,-0.9008,0.2041,0.0,0.0,1.0,1.0,1,0
2026-03-27,824946,ATL,KC,CHRIS SALE,COLE RAGANS,0.8353,0.8101,0.8274,2.1512,0.25,0.0,0.0,4.0,0.0,0,1
2026-03-27,823243,SF,NYY,ROBBIE RAY,CAM SCHLITTLER,0.7874,0.7755,0.632,-0.5924,0.25,0.0,1.3857,0.0,0.0,1,0
