game_pk,game_date,home_team,away_team,f1_home_scored,f1_away_scored,f1_nrfi,f1_home_runs,f1_away_runs,f5_home_runs,f5_away_runs,f5_total,f5_home_win,home_sp_id,away_sp_id,home_sp_k,away_sp_k,home_sp_ip,away_sp_ip,home_score_final,away_score_final,home_covers_rl,game_pk_bt,game,home_sp,away_sp,mc_rl,xgb_rl,blended_rl,model_total,vegas_total,home_score,away_score,actual_total,home_margin,signal,bet_win
822838,2026-03-28,TOR,ATH,0,0,1,0.0,0.0,1.0,0.0,1.0,1,605488,656302,2,12,5.4,5.8,8,7,0,822838,ATH @ TOR,DYLAN CEASE,JEFFREY SPRINGS,0.297,0.454,0.36,8.8,,8,7,15,1,AWAY +1.5 *,True
823082,2026-03-28,STL,TB,1,0,0,2.0,0.0,2.0,0.0,2.0,1,671212,700241,4,5,4.8,6.2,6,5,0,823082,TB @ STL,MICHAEL MCGREEVY,JOE BOYLE,0.278,0.559,0.39,9.9,,6,5,11,1,AWAY +1.5 *,True
823161,2026-03-28,SEA,CLE,0,0,1,0.0,0.0,2.0,0.0,2.0,1,676282,693433,5,9,5.9,5.4,5,6,0,823161,CLE @ SEA,BRYAN WOO,JOEY CANTILLO,0.357,0.54,0.43,7.8,,5,6,11,-1,,
823241,2026-03-28,SF,NYY,0,0,1,0.0,0.0,1.0,3.0,4.0,0,701542,641816,3,5,5.4,5.2,1,3,0,823241,NYY @ SF,TYLER MAHLE,WILL WARREN,0.339,0.429,0.375,9.5,,1,3,4,-2,AWAY +1.5 *,True
823323,2026-03-28,SD,DET,0,0,1,0.0,0.0,3.0,0.0,3.0,1,656427,681190,2,8,5.7,5.9,3,0,1,823323,DET @ SD,RANDY VASQUEZ,JACK FLAHERTY,0.327,0.577,0.427,10.6,,3,0,3,3,,
823488,2026-03-28,PHI,TEX,0,1,0,0.0,1.0,0.0,3.0,3.0,0,656641,605400,3,7,4.4,5.9,4,5,0,823488,TEX @ PHI,AARON NOLA,JACOB LATZ,0.229,0.43,0.309,9.7,,4,5,9,-1,AWAY +1.5 **,True
823651,2026-03-28,NYM,PIT,0,0,1,0.0,0.0,0.0,0.0,0.0,0,656605,656849,3,3,5.0,4.9,4,2,1,823651,PIT @ NYM,DAVID PETERSON,MITCH KELLER,0.238,0.445,0.321,9.6,,4,2,6,2,AWAY +1.5 **,False
823811,2026-03-28,MIL,CWS,1,0,0,3.0,0.0,4.0,1.0,5.0,1,680732,694477,5,4,5.9,4.8,6,1,1,823811,CWS @ MIL,CHAD PATRICK,SEAN BURKE,0.399,0.435,0.413,9.9,,6,1,7,5,,
823892,2026-03-28,MIA,COL,0,0,1,0.0,0.0,3.0,3.0,6.0,0,547179,691587,4,8,6.0,6.0,4,3,0,823892,COL @ MIA,EURY PEREZ,MICHAEL LORENZEN,0.342,0.568,0.432,11.2,,4,3,7,1,,
823973,2026-03-28,LAD,AZ,0,1,0,0.0,1.0,0.0,2.0,2.0,0,593958,607192,5,6,5.1,5.8,3,2,0,823973,AZ @ LAD,TYLER GLASNOW,EDUARDO RODRIGUEZ,0.339,0.513,0.408,8.7,,3,2,5,1,,
824213,2026-03-28,HOU,LAA,0,0,1,0.0,0.0,3.0,6.0,9.0,0,672282,664299,9,1,6.1,4.8,11,9,1,824213,LAA @ HOU,CRISTIAN JAVIER,REID DETMERS,0.199,0.404,0.281,10.1,,11,9,20,2,AWAY +1.5 **,False
824540,2026-03-28,CIN,BOS,1,0,0,2.0,0.0,5.0,3.0,8.0,1,543243,663903,5,5,5.2,4.8,6,5,0,824540,BOS @ CIN,BRADY SINGER,SONNY GRAY,0.22,0.418,0.299,10.4,,6,5,11,1,AWAY +1.5 **,True
824701,2026-03-28,CHC,WSH,0,0,1,0.0,0.0,6.0,2.0,8.0,1,571945,690990,4,4,6.3,4.8,10,2,1,824701,WSH @ CHC,CADE HORTON,MILES MIKOLAS,0.452,0.572,0.5,10.5,,10,2,12,8,,
824862,2026-03-28,BAL,MIN,0,0,1,0.0,0.0,1.0,3.0,4.0,0,671737,680694,9,4,5.9,5.4,1,4,0,824862,MIN @ BAL,KYLE BRADISH,TAJ BRADLEY,0.268,0.41,0.325,9.1,,1,4,5,-3,AWAY +1.5 **,True
824945,2026-03-28,ATL,KC,0,0,1,0.0,0.0,0.0,0.0,0.0,0,608379,625643,7,3,5.2,5.0,6,2,1,824945,KC @ ATL,REYNALDO LOPEZ,MICHAEL WACHA,0.38,0.52,0.436,9.4,,6,2,8,4,,
822837,2026-03-29,TOR,ATH,1,0,0,1.0,0.0,5.0,2.0,7.0,1,806960,641778,5,9,4.6,5.6,5,2,1,822837,ATH @ TOR,ERIC LAUER,LUIS MORALES,0.493,0.592,0.532,12.5,,5,2,7,3,,
823079,2026-03-29,STL,TB,0,0,1,0.0,0.0,4.0,6.0,10.0,0,571927,669160,2,3,5.2,3.9,7,11,0,823079,TB @ STL,DUSTIN MAY,STEVEN MATZ,0.347,0.567,0.435,11.1,,7,11,18,-4,,
