home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_home_win,game_date,game_pk,model_prob,bet_type,home_score_final,away_score_final,actual,close_ml_home,pinnacle_ml_home,retail_implied_home,P_true_home,retail_odds,retail_imp,p_true,P_true,retail_implied_prob,edge,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,market,lam_home,lam_away,total_line,p_over_dc,p_over_xgb,p_over_final,p_cover_dc,p_cover_xgb,p_home_cover_final,actual_total,close_total,pinnacle_total_over_odds,retail_implied_over,P_true_over,home_covers_rl,runline_home_odds,pinnacle_rl_home_odds,retail_implied_rl_home,P_true_rl_home,actual_f5_home,actual_f5_away,actual_f5_win,f5_home_win,skip_sanity,p_stk_nrfi,pois_p_nrfi,actual_f1_home,actual_f1_away,actual_nrfi,f1_nrfi
TB,NYY,DREW RASMUSSEN,CAM SCHLITTLER,0.729,0.775,2.09,1.0,2026-04-12,822998,0.775,HOME_ML,5.0,4.0,1,129,,,,129,0.4366812227074236,,,0.4367,0.3383,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,COL,NICK PIVETTA,JIMMY HERGET,0.739,0.754,1.794,1.0,2026-04-12,823317,0.754,HOME_ML,7.0,2.0,1,-176,,,,-176,0.6376811594202898,,,0.6377,0.1163,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,MIA,TARIK SKUBAL,SANDY ALCANTARA,0.741,0.796,2.255,1.0,2026-04-12,824293,0.796,HOME_ML,8.0,2.0,1,-207,,,,-207,0.6742671009771987,,,0.6743,0.1217,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHC,PIT,JAMESON TAILLON,BUBBA CHANDLER,0.764,0.793,2.376,1.0,2026-04-12,824696,0.793,HOME_ML,7.0,6.0,1,-136,,,,-136,0.576271186440678,,,0.5763,0.2167,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,CLE,CHRIS SALE,TANNER BIBEE,0.752,0.833,2.84,1.0,2026-04-12,824938,0.833,HOME_ML,13.0,1.0,1,-186,,,,-186,0.6503496503496503,,,0.6503,0.1827,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STL,CLE,MICHAEL MCGREEVY,JOEY CANTILLO,0.604,0.51,0.238,1.0,2026-04-14,823072,0.51,HOME_ML,6.0,5.0,1,100,104,0.478261,0.480249,100,0.478261,0.480249,0.4802,0.4783,0.0317,True,True,1.0,10.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,WSH,MITCH KELLER,PJ POULIN,0.703,0.723,1.641,0.0,2026-04-14,823398,0.723,HOME_ML,4.0,5.0,0,-186,-179,0.621983,0.628772,-186,0.621983,0.628772,0.6288,0.622,0.101,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYY,LAA,RYAN WEATHERS,REID DETMERS,0.575,0.679,1.737,0.0,2026-04-14,823562,0.679,HOME_ML,1.0,7.0,0,-186,-170,0.621983,0.616205,-186,0.621983,0.616205,0.6162,0.622,0.057,True,True,1.0,41.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,BOS,MICK ABEL,SONNY GRAY,0.633,0.569,0.088,1.0,2026-04-14,823723,0.569,HOME_ML,6.0,0.0,1,113,117,0.448942,0.452525,113,0.448942,0.452525,0.4525,0.4489,0.1201,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,KC,FRAMBER VALDEZ,COLE RAGANS,0.846,0.91,3.874,1.0,2026-04-14,824292,0.91,HOME_ML,2.0,1.0,1,-122,-110,0.526087,0.514114,-122,0.526087,0.514114,0.5141,0.5261,0.3839,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN,SF,BRADY SINGER,ROBBIE RAY,0.584,0.566,0.82,1.0,2026-04-14,824531,0.566,HOME_ML,2.0,1.0,1,-115,-107,0.510834,0.507073,-115,0.510834,0.507073,0.5071,0.5108,0.0552,True,True,1.0,33.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,MIA,REYNALDO LOPEZ,MAX MEYER,0.8,0.835,2.732,1.0,2026-04-14,824935,0.835,HOME_ML,6.0,5.0,1,-163,-155,0.592911,0.595302,-163,0.592911,0.595302,0.5953,0.5929,0.2421,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STL,CLE,DUSTIN MAY,SLADE CECCONI,0.727,0.749,1.919,1.0,2026-04-15,823071,0.749,HOME_ML,5.0,3.0,1,-112,-111,0.50433,0.512702,-112,0.50433,0.512702,0.5127,0.5043,0.2447,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,WSH,MASON MONTGOMERY,JAKE IRVIN,0.743,0.779,2.22,1.0,2026-04-15,823399,0.779,HOME_ML,2.0,0.0,1,-181,,0.615958,,-181,0.615958,,,0.616,0.163,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYY,LAA,LUIS GIL,JACK KOCHANOWICZ,0.811,0.848,2.676,1.0,2026-04-15,823561,0.848,HOME_ML,5.0,4.0,1,-194,,0.630867,,-194,0.630867,,,0.6309,0.2171,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,KC,JACK FLAHERTY,SETH LUGO,0.633,0.692,1.641,1.0,2026-04-15,824291,0.692,HOME_ML,2.0,1.0,1,-131,-128,0.542384,0.548049,-131,0.542384,0.548049,0.548,0.5424,0.1496,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN,SF,RHETT LOWDER,TYLER MAHLE,0.673,0.68,1.327,1.0,2026-04-15,824532,0.68,HOME_ML,8.0,3.0,1,-102,-101,0.482636,0.490702,-102,0.482636,0.490702,0.4907,0.4826,0.1974,True,True,1.0,50.0,True,ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
