iter	Logloss
0	0.6900180344
5	0.6777855542
10	0.6694390637
15	0.6617958768
20	0.6557980343
25	0.650746916
30	0.6473003055
35	0.6431526759
40	0.6394186099
45	0.6361545363
50	0.6331103521
55	0.6299535959
60	0.6266715884
65	0.6239744298
70	0.6212596229
75	0.6182882592
80	0.6161099827
85	0.613213153
90	0.6102163735
95	0.6075874663
100	0.6041217797
105	0.6013107355
110	0.5986315107
115	0.5963882382
120	0.5942124747
125	0.5920035278
130	0.5893429794
135	0.5861934196
140	0.5840734566
145	0.5813682449
150	0.5795300259
155	0.5766780309
160	0.5740842489
165	0.5711800514
170	0.5688106138
175	0.5667656417
