iter	Passed	Remaining
0	22	13535
1	46	13843
2	71	14288
3	97	14516
4	121	14414
5	145	14360
6	166	14143
7	191	14159
8	216	14188
9	240	14196
10	262	14057
11	284	13947
12	308	13934
13	334	13984
14	359	14026
15	385	14068
16	410	14068
17	434	14038
18	456	13949
19	477	13850
20	501	13833
21	531	13955
22	555	13931
23	578	13882
24	599	13799
25	621	13731
26	659	13985
27	685	13995
28	710	13997
29	741	14084
30	767	14089
31	792	14061
32	813	13975
33	836	13918
34	865	13978
35	887	13905
36	910	13846
37	934	13820
38	957	13775
39	981	13734
40	1005	13710
41	1028	13658
42	1053	13645
43	1075	13586
44	1096	13522
45	1118	13474
46	1141	13427
47	1162	13370
48	1193	13419
49	1215	13369
50	1237	13322
51	1261	13290
52	1283	13243
53	1306	13209
54	1328	13161
55	1352	13141
56	1376	13113
57	1400	13089
58	1422	13047
59	1444	13002
60	1482	13099
61	1504	13054
62	1526	13013
63	1548	12968
64	1570	12927
