sport,date,game,bet_type,tier,p_model,p_true,edge_pct,market_odds,stake,ou_line,outcome,profit_loss,units_pl,notes
MLB,2026-04-15,KC @ DET,ML_HOME,2,0.5576,0.548,1.52,-131.0,0.0,,WIN,0.0,0.0,
MLB,2026-04-15,MIA @ ATL,UNDER,2,0.4774,0.5203,1.18,,0.0,9.0,PUSH,0.0,0.0,line:9.0 dir:UNDER
MLB,2026-04-16,TB @ CWS,ML_AWAY,2,0.4809,0.4738,1.3,104.0,0.0,,PENDING,,,
MLB,2026-04-17,ATL @ PHI,UNDER,1,0.4494,0.5161,3.32,,13.3,9.5,WIN,12.41,12.41,line:9.5 dir:UNDER
MLB,2026-04-17,BAL @ CLE,OVER,2,0.5132,0.5023,1.32,,0.0,8.0,PENDING,,,line:8.0 dir:OVER
MLB,2026-04-17,DET @ BOS,OVER,2,0.5441,0.5138,2.67,,5.03,7.5,LOSS,-5.03,-5.03,line:7.5 dir:OVER
MLB,2026-04-17,KC @ NYY,ML_HOME,1,0.6587,0.6205,4.27,-181.0,20.47,,WIN,11.31,11.31,
MLB,2026-04-17,KC @ NYY,RL_AWAY,2,0.4639,0.4395,2.69,119.0,3.33,,PENDING,,,sanity_source:
MLB,2026-04-18,ATL @ PHI,OVER,2,0.5279,0.5092,1.71,,0.98,7.0,PENDING,,,line:7.0 dir:OVER
MLB,2026-04-18,CIN @ MIN,OVER,2,0.506,0.4829,1.68,,0.0,8.0,PENDING,,,line:8.0 dir:OVER
MLB,2026-04-18,DET @ BOS,ML_AWAY,1,0.3308,0.3211,3.27,215.0,9.77,,PENDING,,,
MLB,2026-04-18,DET @ BOS,UNDER,2,0.4685,0.5171,2.07,,1.87,7.0,PENDING,,,line:7.0 dir:UNDER
MLB,2026-04-18,KC @ NYY,ML_HOME,2,0.6171,0.5969,1.38,-171.0,0.0,,PENDING,,,
MLB,2026-04-18,MIL @ MIA,UNDER,2,0.471,0.5023,1.82,,1.25,7.5,PENDING,,,line:7.5 dir:UNDER
MLB,2026-04-18,SF @ WSH,ML_HOME,1,0.5219,0.4953,3.27,-105.0,9.95,,PENDING,,,
MLB,2026-04-18,STL @ HOU,RL_AWAY,2,0.4102,0.3961,1.84,144.0,0.13,,PENDING,,,sanity_source:
MLB,2026-04-18,TB @ PIT,UNDER,1,0.4921,0.5188,4.55,,0.0,7.5,PENDING,,,line:7.5 dir:UNDER
MLB,2026-04-19,BAL @ CLE,UNDER,2,0.4673,0.5113,2.84,,2.17,7.0,PENDING,,,line:7.0 dir:UNDER
MLB,2026-04-19,CIN @ MIN,ML_HOME,2,0.5497,0.5379,1.76,-126.0,0.0,,PENDING,,,
MLB,2026-04-19,CWS @ ATH,ML_HOME,2,0.6032,0.5884,2.07,-156.0,0.0,,PENDING,,,
MLB,2026-04-19,CWS @ ATH,RL_AWAY,2,0.4415,0.4299,2.41,129.0,2.16,,PENDING,,,sanity_source:
MLB,2026-04-19,DET @ BOS,UNDER,2,0.4831,0.491,1.69,,0.0,7.0,PENDING,,,line:7.0 dir:UNDER
MLB,2026-04-19,KC @ NYY,OVER,2,0.5065,0.4864,2.39,,0.0,8.0,PENDING,,,line:8.0 dir:OVER
MLB,2026-04-19,LAD @ COL,ML_AWAY,2,0.3147,0.2901,2.82,234.0,5.46,,PENDING,,,
MLB,2026-04-19,MIL @ MIA,OVER,1,0.5205,0.5136,3.79,,0.0,8.0,PENDING,,,line:8.0 dir:OVER
MLB,2026-04-19,NYM @ CHC,UNDER,1,0.4511,0.5158,3.81,,12.45,8.5,PENDING,,,line:8.5 dir:UNDER
MLB,2026-04-19,SD @ LAA,ML_HOME,2,0.5045,0.4907,2.19,-102.0,0.0,,PENDING,,,
MLB,2026-04-19,SF @ WSH,ML_AWAY,2,0.4472,0.4173,2.97,129.0,4.67,,PENDING,,,
MLB,2026-04-19,TB @ PIT,OVER,1,0.5404,0.5056,5.78,,8.2,8.0,PENDING,,,line:8.0 dir:OVER
