game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65
SF @ BAL,BAL,SF,CADE POVICH,ADRIAN HOUSER,NORMAL,NORMAL,0.3815,0.3661,60.8,0.373,0.232,0.316,0.485,0.271,0.729,5.2,4.8,3,7,3,6,9.99,10.01,-131,109,8.0,163,,,0.567,RL +1.5 (away),0.684,0.684,0.588,-143.0,0.095,**,False,0.096,AWAY +1.5 **,OVER 8.0,True,1:35 pm ET,99.4,84.9,3.12,3.06,6.18,0.4291,0.2756,0.2909,0.463,0.4584,0.62,0.611,3.11,3.56,0.3889,0.199,0.0848,0.0312,0.4724,0.2668,0.1258,0.0495
AZ @ PHI,PHI,AZ,ZACH POP,ZAC GALLEN,NORMAL,NORMAL,0.3274,0.3195,57.6,0.358,0.106,0.257,0.484,0.247,0.752,4.4,3.9,3,6,2,5,8.33,8.77,,,,,,,,,0.2572,0.2572,,,0.0,,False,0.0,AWAY +1.5 **,,True,1:35 pm ET,90.8,80.6,2.37,2.32,4.7,0.4164,0.244,0.3902,0.3775,0.3731,0.478,0.461,4.68,2.35,0.7318,0.528,0.327,0.172,0.2158,0.0855,0.0266,0.0068
MIN @ TOR,TOR,MIN,MAX SCHERZER,TAJ BRADLEY,NORMAL,NORMAL,0.3242,0.2771,42.6,0.23,0.239,0.234,0.344,0.14,0.86,3.6,4.4,2,5,3,6,7.98,6.29,-115,-105,8.0,-188,,,0.535,RL +1.5 (home),0.766,0.766,0.653,-188.0,0.1136,**,False,0.113,AWAY +1.5 **,UNDER 8.0,True,1:37 pm ET,87.6,92.6,1.77,2.38,4.14,0.2858,0.1409,0.4374,0.2972,0.3777,0.351,0.478,4.23,7.69,0.6443,0.4325,0.2452,0.1187,0.9724,0.9235,0.8334,0.6961
LAA @ CIN,CIN,LAA,ANDREW ABBOTT,JOSÉ SORIANO,NORMAL,NORMAL,0.2993,0.3125,79.4,0.32,0.239,0.288,0.44,0.217,0.783,4.1,4.0,2,5,2,5,8.09,7.61,-112,-108,8.0,-183,,,0.528,RL +1.5 (home),0.712,0.712,0.647,-183.0,0.0655,*,False,0.065,AWAY +1.5 **,,True,1:40 pm ET,76.6,85.3,2.34,2.29,4.63,0.4156,0.2435,0.3968,0.3738,0.3664,0.471,0.45,4.25,6.52,0.6376,0.4261,0.2405,0.118,0.9273,0.8268,0.6752,0.4959
ATH @ NYM,NYM,ATH,FREDDY PERALTA,AARON CIVALE,NORMAL,NORMAL,0.2838,0.2999,47.0,0.34,0.239,0.3,0.469,0.231,0.769,3.9,3.6,2,5,2,5,7.47,7.89,,,,,,,,,0.2997,0.2997,,,0.0,,False,0.0,AWAY +1.5 **,,True,1:40 pm ET,94.2,98.9,2.11,1.96,4.07,0.4258,0.244,0.4447,0.3429,0.3233,0.416,0.394,7.34,5.21,0.9591,0.8915,0.7754,0.6205,0.788,0.6064,0.4118,0.2398
MIA @ DET,DET,MIA,TARIK SKUBAL,SANDY ALCANTARA,NORMAL,NORMAL,0.2775,0.2837,70.3,0.377,0.239,0.322,0.493,0.272,0.728,4.5,3.9,3,6,2,5,8.4,8.37,-207,169,6.5,111,,,0.674,RL +1.5 (away),0.678,0.678,0.476,-91.0,0.2016,**,False,0.202,AWAY +1.5 **,OVER 6.5,True,1:40 pm ET,113.9,97.4,2.34,2.08,4.42,0.4496,0.2709,0.4131,0.3741,0.34,0.471,0.412,5.41,5.67,0.8302,0.6675,0.4738,0.2896,0.851,0.6987,0.5106,0.3281
NYY @ TB,TB,NYY,DREW RASMUSSEN,CAM SCHLITTLER,NORMAL,NORMAL,0.296,0.1849,78.1,0.13,0.239,0.174,0.211,0.076,0.924,3.2,5.3,2,4,3,7,8.4,8.14,129,-156,7.5,-143,,,0.437,RL +1.5 (home),0.826,0.826,0.588,-143.0,0.2379,**,False,0.238,AWAY +1.5 **,,True,1:40 pm ET,120.5,113.2,0.98,2.49,3.46,0.1278,0.0422,0.5088,0.1645,0.3911,0.18,0.499,5.72,6.23,0.8479,0.6913,0.5005,0.3144,0.9043,0.7813,0.6082,0.4178
CWS @ KC,KC,CWS,NOAH CAMERON,GRANT TAYLOR,NORMAL,NORMAL,0.3384,0.312,67.9,0.374,0.239,0.32,0.482,0.277,0.723,5.4,5.1,3,7,3,7,10.48,9.57,-184,154,9.5,105,,,0.648,RL +1.5 (away),0.68,0.68,0.459,-85.0,0.2205,**,False,0.221,AWAY +1.5 **,,True,2:10 pm ET,108.8,85.2,2.7,2.73,5.43,0.4058,0.2511,0.3375,0.4171,0.4211,0.54,0.545,4.43,5.32,0.6557,0.4462,0.265,0.1325,0.8229,0.6518,0.4609,0.2842
WSH @ MIL,MIL,WSH,BRANDON WOODRUFF,ZACK LITTELL,NORMAL,NORMAL,0.2549,0.3398,65.6,0.615,0.318,0.496,0.723,0.501,0.498,6.4,3.9,4,8,2,5,10.34,9.99,-199,163,8.0,113,,,0.666,RL -1.5 (home),0.496,0.496,0.469,113.0,0.0267,,False,0.027,,OVER 8.0,True,2:10 pm ET,135.8,115.6,3.48,1.91,5.38,0.6744,0.5026,0.3422,0.4987,0.3174,0.691,0.379,5.65,3.45,0.8445,0.6878,0.4957,0.3132,0.4546,0.2489,0.1127,0.0426
BOS @ STL,STL,BOS,ANDRE PALLANTE,BRAYAN BELLO,NORMAL,NORMAL,0.3404,0.3274,72.9,0.335,0.438,0.376,0.447,0.234,0.766,5.3,5.3,4,7,4,7,10.64,9.46,109,-131,8.5,-156,,,0.478,RL +1.5 (home),0.624,0.624,0.609,-156.0,0.0144,,False,0.015,AWAY +1.5 *,OVER 8.5,True,2:15 pm ET,122.1,99.1,3.1,2.96,6.05,0.439,0.2832,0.2978,0.4619,0.4465,0.617,0.59,2.95,4.68,0.3279,0.1559,0.0622,0.0203,0.7325,0.5286,0.3302,0.1759
