game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,vegas_pick
HOU @ SEA,SEA,HOU,GEORGE KIRBY,MIKE BURROWS,NORMAL,NORMAL,0.2833,0.327,72.0,0.378,0.479,0.418,0.493,0.273,0.727,4.8,4.4,3.0,6.0,2.0,6.0,9.14,9.65,-432,297,8.5,-125,,,0.812,RL +1.5 (away),0.582,0.582,0.488,105.0,0.0938,**,False,0.094,,OVER 8.5,False,4:10 pm ET,,,2.36,2.43,4.79,0.394,0.2278,0.3837,0.3762,0.3848,0.466,0.485,5.1,4.16,0.7823,0.5985,0.4009,0.2351,0.629,0.4156,0.2329,0.1096,
AZ @ BAL,BAL,AZ,TBD,RYNE NELSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,6:35 pm ET,,,,,,,,,,,,,,,,,,,,,,,
WSH @ PIT,PIT,WSH,PAUL SKENES,CADE CAVALLI,NORMAL,NORMAL,0.2234,0.3171,72.0,0.461,0.34,0.413,0.58,0.347,0.653,5.2,4.0,3.0,7.0,2.0,5.0,9.22,8.59,,,,,,,,,0.4127,0.4127,,,0.0,,False,0.0,,,False,6:40 pm ET,,,2.66,1.58,4.24,0.6062,0.406,0.4299,0.4123,0.2685,0.535,0.308,5.75,3.46,0.8628,0.7143,0.5251,0.3367,0.4452,0.243,0.1092,0.0413,
CHC @ PHI,PHI,CHC,CRISTOPHER SÁNCHEZ,JAVIER ASSAD,NORMAL,NORMAL,0.3274,0.271,72.0,0.208,0.152,0.186,0.322,0.122,0.877,3.6,4.5,2.0,5.0,3.0,6.0,8.1,8.5,,,,,,,,,0.1858,0.1858,,,0.0,,False,0.0,AWAY +1.5 **,,False,6:40 pm ET,,,1.85,2.64,4.49,0.2666,0.1306,0.4131,0.298,0.4115,0.36,0.525,4.68,3.58,0.7309,0.5274,0.3276,0.1737,0.494,0.2798,0.1297,0.0485,
LAA @ NYY,NYY,LAA,WILL WARREN,YUSEI KIKUCHI,NORMAL,NORMAL,0.3202,0.3062,72.0,0.3,0.414,0.346,0.419,0.204,0.796,4.2,4.2,2.0,6.0,3.0,6.0,8.39,8.58,,,,,,,,,0.3456,0.3456,,,0.0,,False,0.0,AWAY +1.5 *,,False,7:05 pm ET,,,2.36,2.58,4.93,0.3712,0.2144,0.3725,0.3761,0.4029,0.474,0.511,5.51,5.91,0.8327,0.6683,0.4726,0.2892,0.8698,0.7288,0.5438,0.3592,
MIA @ ATL,ATL,MIA,GRANT HOLMES,EURY PÉREZ,NORMAL,NORMAL,0.3086,0.3539,72.0,0.484,0.519,0.498,0.595,0.375,0.625,5.8,4.4,4.0,8.0,3.0,6.0,10.2,9.46,,,,,,,,,0.4981,0.4981,,,0.0,,False,0.0,,,False,7:15 pm ET,,,3.56,2.67,6.22,0.5576,0.3954,0.2885,0.5082,0.4134,0.707,0.534,4.55,6.1,0.6763,0.4705,0.2812,0.1425,0.8843,0.7528,0.5739,0.3878,
BOS @ MIN,MIN,BOS,BAILEY OBER,GARRETT CROCHET,NORMAL,NORMAL,0.3006,0.2881,72.0,0.346,0.239,0.303,0.465,0.244,0.756,4.5,4.2,3.0,6.0,3.0,6.0,8.71,8.87,,,,,,,,,0.3034,0.3034,,,0.0,,False,0.0,AWAY +1.5 **,,False,7:40 pm ET,,,2.39,2.17,4.56,0.441,0.2679,0.4022,0.38,0.3513,0.481,0.428,2.7,6.51,0.2784,0.1222,0.0437,0.0135,0.9302,0.8299,0.6812,0.5017,
CLE @ STL,STL,CLE,MATTHEW LIBERATORE,GAVIN WILLIAMS,NORMAL,NORMAL,0.3159,0.3418,72.0,0.405,0.343,0.38,0.525,0.294,0.706,5.2,4.5,3.0,7.0,3.0,6.0,9.71,9.46,,,,,,,,,0.3802,0.3802,,,0.0,,False,0.0,AWAY +1.5 *,,False,7:45 pm ET,,,3.01,2.36,5.37,0.5194,0.3483,0.3431,0.4509,0.3751,0.597,0.469,3.78,7.51,0.5479,0.3292,0.166,0.0705,0.9709,0.9213,0.8238,0.6817,
TEX @ ATH,ATH,TEX,LUIS SEVERINO,NATHAN EOVALDI,NORMAL,NORMAL,0.3051,0.3029,72.0,0.307,0.232,0.277,0.425,0.211,0.789,4.0,4.0,2.0,5.0,2.0,5.0,8.02,8.45,,,,,,,,,0.2768,0.2768,,,0.0,,False,0.0,AWAY +1.5 **,,False,9:40 pm ET,,,2.39,2.21,4.6,0.4377,0.2634,0.3991,0.3798,0.3564,0.482,0.435,7.52,6.45,0.9705,0.9201,0.8263,0.6853,0.9169,0.8095,0.6518,0.4703,
NYM @ LAD,LAD,NYM,JUSTIN WROBLESKI,DAVID PETERSON,NORMAL,NORMAL,0.3841,0.3469,72.0,0.406,0.414,0.41,0.52,0.299,0.701,5.7,5.0,4.0,7.0,3.0,7.0,10.79,10.51,,,,,,,,,0.4095,0.4095,,,0.0,,False,0.0,,,False,10:10 pm ET,,,3.59,3.24,6.84,0.4759,0.328,0.243,0.5133,0.5007,0.72,0.697,3.39,4.17,0.4384,0.231,0.1002,0.0344,0.6176,0.4004,0.218,0.0991,
