game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,vegas_pick
AZ @ BAL,BAL,AZ,TREVOR ROGERS,MERRILL KELLY,NORMAL,NORMAL,0.2877,0.326,72.0,0.378,0.372,0.376,0.502,0.267,0.733,4.5,3.9,3.0,6.0,2.0,5.0,8.35,9.04,,,,,,,,,0.3757,0.3757,,,0.0,,False,0.0,,,,0.3439,,,False,False,False,0.5068,AWAY +1.5 *,,False,6:35 pm ET,,,2.44,2.08,4.53,0.4695,0.2893,0.4046,0.3863,0.3406,0.491,0.412,4.92,4.3,0.7565,0.5677,0.3711,0.2085,0.6593,0.4491,0.2659,0.1322,
KC @ DET,DET,KC,FRAMBER VALDEZ,COLE RAGANS,NORMAL,NORMAL,0.3274,0.3013,72.0,0.394,0.358,0.38,0.516,0.279,0.721,4.8,4.1,3.0,6.0,3.0,5.0,8.86,9.17,-122,102,8.0,-189,,,0.55,RL -1.5 (away),0.38,0.38,0.372,169.0,0.008,,False,0.008,,,-0.2557,0.3695,0.341569,0.625138,True,True,False,0.4911,AWAY +1.5 *,OVER 8.0,False,6:40 pm ET,,,2.38,2.44,4.82,0.3956,0.234,0.3808,0.3784,0.3874,0.476,0.487,4.68,7.88,0.7287,0.5262,0.3281,0.1746,0.9815,0.9427,0.8658,0.7417,
WSH @ PIT,PIT,WSH,MITCH KELLER,MILES MIKOLAS,NORMAL,NORMAL,0.2943,0.3684,72.0,0.437,0.262,0.367,0.551,0.329,0.671,5.9,5.0,4.0,8.0,3.0,6.0,10.9,10.49,-186,153,9.5,109,,,0.65,RL +1.5 (away),0.633,0.633,0.471,-89.0,0.1622,**,False,0.162,,,,0.2555,0.458015,0.457616,False,False,False,0.3714,AWAY +1.5 *,OVER 9.5,False,6:40 pm ET,,,3.38,2.7,6.07,0.5239,0.3626,0.2977,0.4902,0.4161,0.669,0.538,4.39,3.63,0.68,0.4702,0.28,0.1409,0.505,0.2909,0.1428,0.059,
SF @ CIN,CIN,SF,BRADY SINGER,ROBBIE RAY,NORMAL,NORMAL,0.3874,0.3013,72.0,0.239,0.297,0.262,0.348,0.154,0.846,3.9,4.7,2.0,5.0,3.0,6.0,8.62,8.55,-115,-105,9.5,-177,,,0.535,RL +1.5 (home),0.738,0.738,0.639,-177.0,0.0986,**,False,0.099,,,-0.2868,0.3244,0.346541,0.611184,True,True,False,0.4178,AWAY +1.5 **,UNDER 9.5,False,6:40 pm ET,,,2.11,3.15,5.26,0.2478,0.127,0.3501,0.3441,0.4663,0.419,0.626,4.39,7.01,0.6808,0.4709,0.2801,0.1423,0.9443,0.8619,0.7304,0.5589,
CHC @ PHI,PHI,CHC,AARON NOLA,RILEY MARTIN,NORMAL,UNKNOWN,0.3209,0.318,72.0,0.287,0.286,0.286,0.399,0.195,0.805,4.1,4.4,2.0,6.0,3.0,6.0,8.57,9.01,-143,119,9.5,144,,,0.588,RL +1.5 (away),0.714,0.714,0.554,-124.0,0.1599,**,False,0.16,,,,0.3095,0.394572,0.391738,False,False,False,0.4031,AWAY +1.5 **,,False,6:40 pm ET,,,2.34,2.56,4.9,0.3699,0.2122,0.3749,0.3736,0.4014,0.471,0.507,6.1,5.32,0.8899,0.7623,0.5884,0.4045,0.8248,0.6578,0.4612,0.2823,
LAA @ NYY,NYY,LAA,RYAN WEATHERS,REID DETMERS,NORMAL,VOLATILE,0.3436,0.2689,72.0,0.218,0.363,0.276,0.32,0.136,0.864,3.6,4.6,2.0,5.0,3.0,6.0,8.23,8.57,-186,153,9.0,113,,,0.65,RL +1.5 (away),0.724,0.724,0.482,-93.0,0.2418,**,False,0.242,,,,0.3755,0.447172,0.448942,False,False,False,0.4974,AWAY +1.5 **,,False,7:05 pm ET,,,1.88,2.89,4.77,0.2407,0.1199,0.3858,0.3126,0.4388,0.38,0.576,6.07,6.06,0.8924,0.7663,0.5935,0.4083,0.8948,0.77,0.5972,0.4135,
MIA @ ATL,ATL,MIA,REYNALDO LÓPEZ,MAX MEYER,UNKNOWN,NORMAL,0.2965,0.3269,72.0,0.461,0.375,0.427,0.573,0.353,0.647,5.4,4.2,3.0,7.0,2.0,6.0,9.56,9.12,-163,135,8.5,129,,,0.62,RL +1.5 (away),0.573,0.573,0.522,-109.0,0.0516,*,False,0.051,,,-0.0065,0.4109,0.414938,0.417455,True,True,False,0.5109,,,False,7:15 pm ET,,,3.14,2.49,5.63,0.5227,0.3529,0.3249,0.4653,0.3924,0.623,0.496,3.68,5.75,0.5198,0.3069,0.1512,0.0632,0.8646,0.7198,0.5406,0.3547,
BOS @ MIN,MIN,BOS,MICK ABEL,SONNY GRAY,NORMAL,NORMAL,0.4051,0.3015,72.0,0.262,0.148,0.216,0.363,0.179,0.821,4.7,5.4,3.0,6.0,4.0,7.0,10.18,10.51,113,-136,8.0,-149,,,0.469,RL +1.5 (home),0.784,0.784,0.598,-149.0,0.1851,**,False,0.186,,,,0.1681,0.579286,0.571628,False,False,False,0.182,AWAY +1.5 **,OVER 8.0,False,7:40 pm ET,,,2.59,3.45,6.04,0.2906,0.1649,0.2988,0.4039,0.4988,0.516,0.691,4.53,5.04,0.6911,0.4872,0.2943,0.1508,0.7691,0.5771,0.3787,0.2166,
TB @ CWS,CWS,TB,NOAH SCHULTZ,SHANE MCCLANAHAN,NORMAL,UNKNOWN,0.3115,0.294,72.0,0.239,0.2,0.224,0.344,0.155,0.845,4.0,5.1,3.0,5.0,3.0,7.0,9.13,10.5,119,-143,8.0,-149,,,0.457,RL +1.5 (home),0.776,0.776,0.598,-149.0,0.1779,**,False,0.178,,,,0.1874,0.573328,0.571628,False,False,False,0.2789,AWAY +1.5 **,OVER 8.0,False,7:40 pm ET,,,1.91,2.5,4.41,0.2962,0.1528,0.4173,0.3115,0.3939,0.377,0.494,8.64,5.18,0.9907,0.9692,0.9211,0.8318,0.7866,0.5975,0.3953,0.2235,
TOR @ MIL,MIL,TOR,JACOB MISIOROWSKI,KEVIN GAUSMAN,NORMAL,NORMAL,0.2813,0.2656,72.0,0.43,0.258,0.361,0.545,0.321,0.679,4.8,3.8,3.0,6.0,2.0,5.0,8.64,8.94,-131,109,7.0,169,,,0.567,RL +1.5 (away),0.639,0.639,0.598,-149.0,0.0404,*,False,0.041,,,,0.2835,0.343063,0.355394,False,False,False,0.3659,AWAY +1.5 *,OVER 7.0,False,7:40 pm ET,,,2.14,2.06,4.2,0.4144,0.2387,0.4315,0.3484,0.3378,0.432,0.409,9.33,7.8,0.9945,0.9796,0.9449,0.8779,0.9743,0.9296,0.8392,0.7022,
