game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,vegas_pick
KC @ DET,DET,KC,JACK FLAHERTY,SETH LUGO,NORMAL,NORMAL,0.3526,0.3392,72.0,0.424,0.3,0.374,0.54,0.313,0.687,5.4,4.5,3.0,7.0,3.0,6.0,9.82,10.18,-131,109,8.0,159,,,0.567,RL +1.5 (away),0.626,0.626,0.582,-139.0,0.0439,*,False,0.044,,,,0.3065,0.370274,0.369133,False,False,False,0.4215,2.0,0.0,0.0152,0.5576,0.548049,0.542384,True,True,,,,OVER,8.0,0.6257,0.513567,0.510834,False,False,0.6257,0.513567,0.486433,0.510834,0.489166,7.0,12.0,5.5,0.4275,0.4209,0.0066,124.0,-166.0,4.5,0.6072,0.4799,0.1273,-104.0,-128.0,AWAY +1.5 *,OVER 8.0,False,6:40 pm ET,,,2.9,2.75,5.65,0.4392,0.2768,0.3235,0.4387,0.4238,0.579,0.55,5.21,5.06,0.8001,0.6248,0.4275,0.2566,0.788,0.6072,0.413,0.2445,
MIA @ ATL,ATL,MIA,BRYCE ELDER,CHRIS PADDACK,NORMAL,NORMAL,0.3018,0.3243,72.0,0.435,0.266,0.368,0.552,0.325,0.675,5.3,4.3,3.0,7.0,3.0,6.0,9.55,9.29,-171,141,9.0,123,,,0.631,RL +1.5 (away),0.632,0.632,0.507,-103.0,0.125,**,False,0.125,,,,0.313,0.441729,0.428372,False,False,False,0.3768,,,0.0001,0.6034,0.615788,0.603285,True,False,2.0,0.0,0.0118,UNDER,9.0,0.4774,0.520341,0.510834,True,True,0.4774,0.479659,0.520341,0.489166,0.510834,7.0,12.0,4.5,0.5749,0.4566,0.1183,110.0,-146.0,3.5,0.7218,0.4674,0.2544,100.0,-132.0,AWAY +1.5 *,,False,7:15 pm ET,,,3.1,2.56,5.67,0.5035,0.3349,0.3225,0.461,0.4017,0.614,0.512,4.95,4.67,0.7663,0.5749,0.3773,0.2121,0.7218,0.5247,0.327,0.1744,
SF @ CIN,CIN,SF,RHETT LOWDER,TYLER MAHLE,UNKNOWN,NORMAL,0.3224,0.3067,72.0,0.327,0.277,0.307,0.449,0.221,0.779,4.0,3.9,2.0,5.0,2.0,5.0,7.99,8.44,-102,-118,9.0,-168,,,0.505,RL +1.5 (home),0.693,0.693,0.627,-168.0,0.0663,*,False,0.066,,,,0.2948,0.598844,0.599713,False,False,False,0.3914,,,0.0027,0.4853,0.490702,0.482636,True,False,,,,OVER,9.0,0.298,0.495484,0.49567,False,False,0.298,0.495484,0.504516,0.49567,0.50433,6.0,10.0,3.5,0.5547,0.4858,0.0689,-114.0,-114.0,4.5,0.7576,0.5333,0.2243,-136.0,102.0,AWAY +1.5 **,,False,6:40 pm ET,,,2.18,2.36,4.54,0.3707,0.2074,0.4036,0.3527,0.3765,0.44,0.466,3.8,5.91,0.5547,0.3376,0.1735,0.075,0.8869,0.7576,0.5844,0.4013,
CLE @ STL,STL,CLE,DUSTIN MAY,SLADE CECCONI,NORMAL,NORMAL,0.3217,0.2879,72.0,0.31,0.234,0.28,0.43,0.207,0.793,4.5,4.5,3.0,6.0,3.0,6.0,9.03,9.78,-112,-108,8.5,-177,,,0.528,RL +1.5 (home),0.72,0.72,0.639,-177.0,0.0815,**,False,0.081,,,,0.2239,0.342462,0.610216,False,False,False,0.331,,,-0.0105,0.4938,0.512702,0.50433,True,False,,,,OVER,8.5,0.5418,0.5,0.510834,False,False,0.5418,0.5,0.5,0.510834,0.489166,7.0,11.0,,,,,,,,,,,,,AWAY +1.5 **,OVER 8.5,False,1:15 pm ET,,,2.25,2.44,4.69,0.3721,0.2116,0.3926,0.3626,0.3841,0.451,0.482,3.52,4.2,0.4836,0.2744,0.1281,0.0493,0.6209,0.4059,0.2243,0.104,
AZ @ BAL,BAL,AZ,KYLE BRADISH,EDUARDO RODRIGUEZ,NORMAL,NORMAL,0.3121,0.2824,72.0,0.277,0.265,0.272,0.389,0.186,0.814,3.9,4.3,2.0,5.0,2.0,6.0,8.15,8.71,-163,135,9.0,123,,,0.62,RL +1.5 (away),0.728,0.728,0.507,-103.0,0.2208,**,False,0.221,,,,0.2753,0.413028,0.428372,False,False,False,0.3752,,,,0.5391,0.585062,0.592911,False,False,,,,OVER,9.0,0.319,0.485402,0.49567,False,False,0.319,0.485402,0.514598,0.49567,0.50433,6.0,10.0,,,,,,,,,,,,,AWAY +1.5 **,,False,12:35 pm ET,,,1.92,2.4,4.31,0.3132,0.1625,0.4226,0.3178,0.3805,0.386,0.475,5.57,4.49,0.8389,0.6774,0.4862,0.3035,0.68,0.474,0.2845,0.1476,
BOS @ MIN,MIN,BOS,SIMEON WOODS RICHARDSON,CONNELLY EARLY,NORMAL,NORMAL,0.3411,0.3582,72.0,0.427,0.221,0.344,0.536,0.323,0.677,5.6,4.7,4.0,7.0,3.0,6.0,10.37,10.67,109,-131,8.0,-156,,,0.478,RL +1.5 (home),0.656,0.656,0.609,-156.0,0.0462,*,False,0.047,,,,0.2338,0.57785,0.582545,False,False,False,0.3124,,,,0.4988,0.45482,0.457616,False,False,,,,OVER,8.0,0.6765,0.5113,0.510834,False,False,0.6765,0.5113,0.4887,0.510834,0.489166,8.0,13.0,,,,,,,,,,,,,AWAY +1.5 *,OVER 8.0,False,1:40 pm ET,,,3.43,2.66,6.09,0.5399,0.3759,0.2963,0.4952,0.413,0.68,0.533,2.69,6.11,0.2658,0.1148,0.0405,0.0116,0.8943,0.7712,0.599,0.4155,
CHC @ PHI,PHI,CHC,JESÚS LUZARDO,SHOTA IMANAGA,NORMAL,NORMAL,0.2835,0.2802,72.0,0.282,0.434,0.343,0.401,0.188,0.812,3.6,3.9,2.0,5.0,2.0,5.0,7.5,8.31,-136,113,8.5,141,,,0.576,RL +1.5 (away),0.657,0.657,0.548,-121.0,0.1093,**,False,0.109,,,,0.45,0.387974,0.396715,False,False,False,0.5759,,,,0.515,0.564242,0.551058,False,False,,,,OVER,8.5,0.3459,0.523539,0.510834,False,False,0.3459,0.523539,0.476461,0.510834,0.489166,5.0,9.0,,,,,,,5.5,0.8196,0.5047,0.3149,-114.0,-114.0,AWAY +1.5 *,,False,6:40 pm ET,,,1.89,2.09,3.97,0.3586,0.1878,0.4532,0.3135,0.3398,0.371,0.419,8.6,7.51,0.9893,0.965,0.9105,0.8124,0.9697,0.917,0.8196,0.6766,
TB @ CWS,CWS,TB,SEAN BURKE,JESSE SCHOLTENS,NORMAL,NORMAL,0.3481,0.318,72.0,0.197,0.152,0.179,0.29,0.126,0.874,4.2,5.6,3.0,6.0,4.0,7.0,9.77,10.72,102,-122,8.0,-168,,,0.495,RL +1.5 (home),0.821,0.821,0.627,-168.0,0.194,**,False,0.194,,,,0.1532,0.605552,0.599713,False,False,False,0.1907,,,,0.4235,0.475981,0.473913,False,False,,,,OVER,8.0,0.6239,0.480898,0.489166,False,False,0.6239,0.480898,0.519102,0.489166,0.510834,7.0,12.0,4.5,0.7856,0.4561,0.3295,114.0,-148.0,,,,,,,AWAY +1.5 **,OVER 8.0,False,7:40 pm ET,,,2.14,3.0,5.14,0.2704,0.1435,0.3586,0.3471,0.4507,0.418,0.598,6.13,6.46,0.9045,0.7856,0.6169,0.4308,0.9258,0.8241,0.6727,0.4946,
WSH @ PIT,PIT,WSH,TBD,JAKE IRVIN,,,,,,,,,,,,,,,,,,,,-181,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,6:40 pm ET,,,,,,,,,,,,,,,,,,,,,,,PIT
LAA @ NYY,NYY,LAA,LUIS GIL,JACK KOCHANOWICZ,NORMAL,NORMAL,0.2783,0.3677,72.0,0.471,0.258,0.386,0.604,0.344,0.656,5.0,3.7,3.0,6.0,2.0,5.0,8.65,8.84,-194,159,10.5,100,,,0.66,RL +1.5 (away),0.614,0.614,0.444,-80.0,0.1695,**,False,0.17,,,,0.2892,,0.478261,False,False,False,0.3659,,,,0.6402,,0.630867,False,False,,,,OVER,10.5,0.2595,,0.482636,False,False,0.2595,,,0.482636,0.517364,6.0,11.0,4.5,0.8347,0.513,0.3217,-122.0,-104.0,3.5,0.8113,0.4348,0.3765,113.0,-144.0,AWAY +1.5 *,UNDER 10.5,False,7:05 pm ET,,,3.17,2.02,5.19,0.6072,0.4271,0.3545,0.4684,0.333,0.628,0.402,6.52,5.34,0.9324,0.8347,0.6852,0.5026,0.8113,0.6369,0.4381,0.2592,
