game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ensemble_min,ensemble_max,model_spread,away_lock_tier,away_lock_dollars,away_lock_edge,away_lock_p_model,away_lock_p_true,away_lock_retail_implied,away_lock_sanity_pass,away_lock_odds_floor_pass,away_lock_edge_pass,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,total_floor_10th,total_ceiling_90th,total_variance_spread,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65
BAL @ CLE,CLE,BAL,PARKER MESSICK,SHANE BAZ,NORMAL,NORMAL,0.2766,0.2789,72.0,0.31,0.298,0.305,0.415,0.225,0.775,3.8,4.0,2,5,2,5,7.75,8.44,-131,109,8.0,159,,,0.567,RL +1.5 (away),0.695,0.695,0.582,-139.0,0.1132,**,False,0.113,,,-0.0298,0.3398,0.358208,0.369544,True,True,False,0.3969,0.349,0.6085,0.2595,2.0,46.98,0.0298,0.6602,0.641792,0.630456,True,True,True,,,-0.0287,0.5137,0.540197,0.542384,True,False,,,,OVER,8.0,0.3635,0.49771,0.50433,False,False,0.3635,0.49771,0.50229,0.50433,0.49567,4,10,4.79,15.55,10.76,5.5,0.6029,0.5225,0.0804,-132.0,100.0,4.5,0.5778,0.5373,0.0405,-134.0,105.0,AWAY +1.5 **,,False,6:10 pm ET,,,1.92,1.91,3.83,0.3946,0.2133,0.4644,0.3188,0.3183,0.38,0.384,6.26,5.0,0.8993,0.7768,0.6029,0.4144,0.7657,0.5778,0.3806,0.2142
KC @ DET,DET,KC,KEIDER MONTERO,KRIS BUBIC,NORMAL,NORMAL,0.3159,0.2962,72.0,0.398,0.183,0.312,0.495,0.312,0.688,5.2,4.5,2,7,2,6,9.63,9.55,241,-337,16.5,-241,,,0.293,ML (home),0.364,0.495,0.293,241.0,0.0704,*,False,0.202,,,,0.2069,0.482168,0.664304,False,False,False,0.1886,0.1886,0.4597,0.2711,,,,0.7931,0.517832,0.335696,False,False,False,,,,0.3637,0.30876,0.275506,False,False,,,,OVER,16.5,0.0987,0.497894,0.55969,False,False,0.0987,0.497894,0.502106,0.55969,0.44031,6,12,4.92,14.95,10.03,,,,,,,,,,,,,AWAY +1.5 **,UNDER 16.5,True,1:10 pm ET,110.6,99.1,2.5,2.61,5.11,0.389,0.2317,0.3579,0.3935,0.4099,0.499,0.525,4.45,7.42,0.6887,0.477,0.2831,0.1423,0.9661,0.9081,0.7997,0.6496
TB @ CWS,CWS,TB,JORDAN LEASURE,STEVEN MATZ,NORMAL,NORMAL,0.312,0.3274,72.0,0.342,0.19,0.281,0.438,0.26,0.74,4.8,5.0,2,6,2,7,9.85,9.62,1220,-8200,8.5,354,,,0.076,RL +1.5 (home),0.719,0.719,0.22,354.0,0.4985,**,False,0.499,,,,0.1444,0.321426,0.20706,False,False,False,0.2017,0.0822,0.4975,0.4153,,,,0.8556,0.678574,0.79294,False,False,False,,,,0.2025,0.142991,0.07122,False,False,,,,OVER,8.5,0.5398,0.444477,0.223259,False,False,0.5398,0.444477,0.555523,0.223259,0.776741,6,13,4.29,15.71,11.43,,,,,,,,,,,,,AWAY +1.5 **,OVER 8.5,False,2:10 pm ET,81.0,,2.46,2.5,4.96,0.4003,0.2376,0.3711,0.3868,0.3947,0.487,0.501,5.32,4.68,0.8254,0.6589,0.464,0.2846,0.7279,0.5258,0.3292,0.1762
TEX @ ATH,ATH,TEX,JACOB LOPEZ,JACK LEITER,NORMAL,NORMAL,0.3435,0.283,72.0,0.281,0.147,0.228,0.377,0.206,0.794,3.8,4.5,1,5,2,6,8.3,8.65,540,-1040,9.5,-255,,,0.156,ML (home),0.234,0.377,0.156,540.0,0.0774,*,False,0.221,,,,0.1767,0.491336,0.674894,False,False,False,0.1026,0.1026,0.5027,0.4001,,,,0.8233,0.508664,0.325106,False,False,False,,,,0.2337,0.298201,0.146229,False,False,,,,OVER,9.5,0.335,0.536284,0.453001,False,False,0.335,0.536284,0.463716,0.453001,0.546999,5,11,4.49,15.0,10.52,,,,,,,,,,,,,AWAY +1.5 **,UNDER 9.5,False,3:05 pm ET,,,2.12,2.67,4.79,0.3091,0.1657,0.3833,0.3458,0.414,0.422,0.534,4.31,7.78,0.6613,0.4505,0.2612,0.1327,0.9811,0.9428,0.8636,0.7345
WSH @ PIT,PIT,WSH,BRAXTON ASHCRAFT,FOSTER GRIFFIN,NORMAL,UNKNOWN,0.2412,0.3797,72.0,0.546,0.299,0.447,0.645,0.449,0.551,5.9,3.5,3,8,1,5,9.45,9.57,,,,,,,,,0.4473,0.4473,,,0.0,,False,0.0,,,,0.43,,,False,False,False,0.3986,0.3986,0.5718,0.1732,,,,0.57,,,False,False,False,,,,0.6446,,,False,False,,,,OVER,,,,,False,False,,,,,,6,12,5.3,15.65,10.35,,,,,,,,,,,,,,,True,12:35 pm ET,93.0,94.4,3.44,1.58,5.02,0.729,0.5525,0.3665,0.4972,0.271,0.685,0.315,6.05,5.89,0.8883,0.7568,0.5829,0.3953,0.8772,0.737,0.5576,0.3759
SF @ CIN,CIN,SF,CHASE BURNS,LANDEN ROUPP,NORMAL,NORMAL,0.3297,0.3274,72.0,0.403,0.509,0.445,0.502,0.317,0.683,5.2,4.7,3,7,2,6,9.93,10.01,,,,,,,,,0.4454,0.4454,,,0.0,,False,0.0,,,,0.4693,,,False,False,False,0.6909,0.624,0.6909,0.0669,,,,0.5307,,,False,False,False,,,,0.5023,,,False,False,,,,OVER,,,,,False,False,,,,,,6,13,5.56,15.99,10.43,,,,,,,,,,,,,,,True,12:40 pm ET,110.2,100.4,2.94,2.82,5.76,0.4348,0.2764,0.3149,0.4447,0.4329,0.588,0.566,6.68,4.68,0.9432,0.8564,0.7181,0.5443,0.7264,0.5276,0.3268,0.1731
LAA @ NYY,NYY,LAA,MAX FRIED,BRENT SUTER,NORMAL,NORMAL,0.2561,0.3022,72.0,0.501,0.368,0.448,0.618,0.392,0.608,4.8,3.1,2,6,1,4,7.86,8.62,,,,,,,,,0.4478,0.4478,,,0.0,,False,0.0,,,,0.3765,,,False,False,False,0.5008,0.5008,0.594,0.0932,,,,0.6235,,,False,False,False,,,,0.6178,,,False,False,,,,OVER,,,,,False,False,,,,,,5,10,5.41,15.12,9.7,,,,,,,,,,,,,,,True,1:35 pm ET,128.6,79.2,2.67,1.57,4.25,0.61,0.4106,0.4246,0.4185,0.2699,0.535,0.314,5.08,3.69,0.7836,0.6031,0.4083,0.2383,0.5163,0.2877,0.128,0.0441
TOR @ MIL,MIL,TOR,BRANDON SPROAT,PATRICK CORBIN,NORMAL,NORMAL,0.4325,0.3274,72.0,0.379,0.396,0.386,0.467,0.3,0.7,5.7,5.5,3,8,3,7,11.23,10.27,,,,,,,,,0.3862,0.3862,,,0.0,,False,0.0,,,,0.4168,,,False,False,False,0.5406,0.5127,0.6029,0.0902,,,,0.5832,,,False,False,False,,,,0.4672,,,False,False,,,,OVER,,,,,False,False,,,,,,7,14,4.56,14.52,9.97,,,,,,,,,,,,,AWAY +1.5 *,,False,1:40 pm ET,,,3.08,3.93,7.01,0.3002,0.1814,0.2399,0.4601,0.5556,0.619,0.808,4.94,4.68,0.7596,0.5671,0.365,0.2016,0.7281,0.529,0.3315,0.1774
COL @ HOU,HOU,COL,RYAN WEISS,JUAN MEJIA,UNKNOWN,NORMAL,0.3834,0.318,72.0,0.304,0.444,0.36,0.387,0.235,0.765,5.1,5.9,2,7,3,8,11.01,10.66,,,,,,,,,0.3598,0.3598,,,0.0,,False,0.0,,,,0.3161,,,False,False,False,0.6048,0.4622,0.6048,0.1426,,,,0.6839,,,False,False,False,,,,0.3869,,,False,False,,,,OVER,,,,,False,False,,,,,,7,14,5.46,16.48,11.02,,,,,,,,,,,,,AWAY +1.5 *,,False,8:10 pm ET,,,2.95,3.26,6.21,0.3705,0.2287,0.2886,0.4468,0.4783,0.591,0.651,4.53,5.32,0.679,0.4584,0.262,0.1241,0.8225,0.6555,0.464,0.2865
SEA @ SD,SD,SEA,WALKER BUEHLER,LUIS CASTILLO,NORMAL,NORMAL,0.3082,0.2901,72.0,0.312,0.356,0.329,0.425,0.219,0.781,3.6,3.7,2,5,2,5,7.32,8.71,,,,,,,,,0.3294,0.3294,,,0.0,,False,0.0,,,,0.3077,,,False,False,False,0.4838,0.3651,0.5639,0.1988,,,,0.6923,,,False,False,False,,,,0.4255,,,False,False,,,,OVER,,,,,False,False,,,,,,4,10,6.26,17.08,10.82,,,,,,,,,,,,,AWAY +1.5 **,,False,8:40 pm ET,,,2.07,2.11,4.19,0.3933,0.2183,0.4309,0.3396,0.3475,0.409,0.428,3.82,6.08,0.5319,0.3133,0.1528,0.0626,0.902,0.7833,0.6159,0.4288
