game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ensemble_min,ensemble_max,model_spread,p_std,variance_gate,p_std_away,variance_gate_away,away_lock_tier,away_lock_dollars,away_lock_edge,away_lock_p_model,away_lock_p_true,away_lock_retail_implied,away_lock_sanity_pass,away_lock_odds_floor_pass,away_lock_edge_pass,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,total_floor_10th,total_ceiling_90th,total_variance_spread,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,pp_home_k_line,pp_home_k_model,pp_home_k_edge,pp_away_k_line,pp_away_k_model,pp_away_k_edge,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,ump_k_above_avg,mc_f5_home_runs_lo,mc_f5_home_runs_hi,mc_f5_away_runs_lo,mc_f5_away_runs_hi,mc_f5_total_lo,mc_f5_total_hi,batter_props
TB @ PIT,PIT,TB,MITCH KELLER,SHANE MCCLANAHAN,NORMAL,UNKNOWN,0.3259,0.2966,48.8,0.358,0.324,0.345,0.455,0.274,0.726,4.9,4.9,2,7,2,7,9.79,9.47,-115,-105,8.0,-178,,,0.535,RL +1.5 (home),0.655,0.655,0.64,-178,0.0151,,False,0.015,,,,0.2453,0.335436,0.61263,False,False,False,0.4452,0.3605,0.5975,0.237,0.0157,True,0.0157,True,,,,0.7547,0.664564,0.38737,False,False,False,,,-0.0039,0.5069,0.506972,0.510834,True,False,1.0,8.2,0.0578,OVER,8.0,0.5404,0.505605,0.482636,True,True,0.5404,0.505605,0.494395,0.482636,0.517364,6,13,4.71,14.57,9.86,3.5,0.483,0.5688,-0.0858,-169.0,132.0,5.5,0.3518,0.4631,-0.1113,102.0,-136.0,,,,,,,AWAY +1.5 *,OVER 8.0,False,1:35 pm ET,,,2.42,2.79,5.21,0.3492,0.1997,0.3524,0.3831,0.4288,0.481,0.559,3.64,4.79,0.483,0.309,0.176,0.0933,0.6739,0.5064,0.3518,0.2255,0.0,1,3,2,4,4,7,[]
NYM @ CHC,CHC,NYM,JAVIER ASSAD,TOBIAS MYERS,NORMAL,NORMAL,0.2996,0.3377,42.5,0.48,0.339,0.424,0.59,0.378,0.622,5.2,3.6,3,7,2,5,8.77,8.87,-136,113,8.5,159,,,0.576,RL -1.5 (home),0.424,0.424,0.386,159,0.0377,,False,0.038,,,-0.0269,0.3422,0.361621,0.369133,True,True,False,0.465,0.465,0.6087,0.1437,0.0096,True,0.0098,True,2.0,45.54,0.0269,0.6578,0.638379,0.630867,True,True,True,,,,0.5809,0.534835,0.551058,False,False,1.0,12.45,0.0381,UNDER,8.5,0.4511,0.515837,0.510834,True,True,0.4511,0.484163,0.515837,0.489166,0.510834,5,11,4.41,15.17,10.76,3.5,0.4565,0.5835,-0.127,-165.0,125.0,,,,,,,,,,,,,,,False,2:20 pm ET,,,3.03,1.95,4.98,0.5988,0.415,0.3688,0.4547,0.3237,0.604,0.388,3.51,4.37,0.4565,0.2838,0.1566,0.0804,0.612,0.4362,0.2857,0.1724,0.0,2,4,1,3,3,6,[]
MIL @ MIA,MIA,MIL,EURY PÉREZ,JACOB MISIOROWSKI,NORMAL,NORMAL,0.3558,0.268,79.2,0.239,0.26,0.247,0.319,0.174,0.826,4.0,5.7,2,6,3,8,9.71,9.21,102,-122,8.0,-163,,,0.495,RL +1.5 (home),0.753,0.753,0.62,-163,0.1332,**,False,0.133,,,,0.2155,0.603485,0.592911,False,False,False,0.354,0.3088,0.6117,0.3029,0.0135,True,0.0134,True,,,,0.7845,0.396515,0.407089,False,False,False,,,,0.4333,0.475981,0.473913,False,False,1.0,0.0,0.0379,OVER,8.0,0.5205,0.513567,0.482636,True,True,0.5205,0.513567,0.486433,0.482636,0.517364,6,13,4.36,13.68,9.32,,,,,,,6.5,0.7151,0.4595,0.2556,-104.0,-128.0,,,,,,,AWAY +1.5 **,OVER 8.0,False,1:40 pm ET,,,1.98,3.4,5.39,0.1975,0.0965,0.3394,0.3271,0.4956,0.397,0.686,4.59,8.66,0.6456,0.4713,0.3151,0.1961,0.9481,0.894,0.8147,0.7151,0.0,1,3,2,5,4,7,[]
SF @ WSH,WSH,SF,MILES MIKOLAS,ROBBIE RAY,NORMAL,NORMAL,0.3654,0.3278,56.5,0.372,0.284,0.337,0.467,0.289,0.711,5.1,4.8,2,7,2,7,9.93,9.51,129,-156,8.0,-131,,,0.437,RL +1.5 (home),0.663,0.663,0.567,-131,0.0959,**,False,0.096,,,,0.2499,0.543728,0.542384,False,False,False,0.3892,0.2831,0.541,0.2579,0.0153,True,0.0152,True,,,,0.7501,0.456272,0.457616,False,False,False,2.0,4.67,0.0297,0.4472,0.417284,0.417455,True,True,,,,OVER,8.0,0.5482,0.483146,0.513007,False,False,0.5482,0.483146,0.516854,0.513007,0.486993,6,13,4.57,14.93,10.35,3.5,0.1935,0.4415,-0.248,116.0,-154.0,5.5,0.592,0.5631,0.0289,-144.0,108.0,,,,,,,AWAY +1.5 **,OVER 8.0,False,1:35 pm ET,,,2.94,2.75,5.69,0.4456,0.2857,0.3182,0.4454,0.4263,0.589,0.554,2.23,6.45,0.1935,0.0854,0.0333,0.0117,0.8488,0.7316,0.592,0.4517,0.0,2,4,2,4,4,7,[]
BAL @ CLE,CLE,BAL,JOEY CANTILLO,TREVOR ROGERS,NORMAL,NORMAL,0.2978,0.2814,41.6,0.258,0.277,0.265,0.359,0.177,0.823,3.5,4.3,2,5,2,6,7.87,8.49,-118,-102,7.0,-202,,,0.541,RL +1.5 (home),0.735,0.735,0.669,-202,0.0658,*,False,0.066,,,,0.2711,0.327058,0.640185,False,False,False,0.3796,0.2328,0.6207,0.3879,0.0179,True,0.0172,True,,,,0.7289,0.672942,0.359815,False,False,False,,,-0.04,0.4774,0.511628,0.517364,True,False,2.0,2.17,0.0284,UNDER,7.0,0.4673,0.5113,0.50433,True,True,0.4673,0.4887,0.5113,0.49567,0.50433,5,10,5.22,15.26,10.04,6.5,0.4567,0.4447,0.012,120.0,-160.0,4.5,0.5073,0.5623,-0.055,-154.0,116.0,,,,,,,AWAY +1.5 **,OVER 7.0,False,1:40 pm ET,,,1.88,2.12,4.0,0.3509,0.1833,0.4485,0.3138,0.3464,0.372,0.425,6.44,4.79,0.8508,0.7324,0.5954,0.4567,0.6748,0.5073,0.3506,0.2235,0.0,1,3,1,3,3,5,[]
LAD @ COL,COL,LAD,MICHAEL LORENZEN,ROKI SASAKI,NORMAL,NORMAL,0.3661,0.3504,70.5,0.275,0.196,0.244,0.343,0.218,0.782,6.0,8.0,3,8,4,10,14.01,12.04,234,-293,11.5,159,,,0.299,RL +1.5 (home),0.756,0.756,0.386,159,0.3702,**,False,0.37,,,,0.1283,0.380312,0.369133,False,False,False,0.2484,0.1893,0.3683,0.179,0.0093,True,0.0096,True,,,,0.8717,0.619688,0.630867,False,False,False,2.0,5.46,0.0282,0.3147,0.290104,0.286523,True,True,,,,OVER,11.5,0.5871,0.509036,0.510834,False,False,0.5871,0.509036,0.490964,0.510834,0.489166,9,18,4.75,15.12,10.37,3.5,0.3579,0.5307,-0.1728,-122.0,-110.0,4.5,0.4343,0.5686,-0.1343,-158.0,118.0,,,,,,,AWAY +1.5 **,,False,3:10 pm ET,,,3.78,4.99,8.77,0.2787,0.1743,0.173,0.5301,0.6318,0.75,1.006,3.02,4.37,0.3579,0.2011,0.1036,0.0469,0.6107,0.4343,0.2841,0.1725,0.0,2,5,3,6,7,11,[]
CWS @ ATH,ATH,CWS,JEFFREY SPRINGS,NOAH SCHULTZ,NORMAL,UNKNOWN,0.2738,0.3529,75.1,0.49,0.418,0.461,0.592,0.394,0.607,5.4,3.8,3,7,2,5,9.19,8.83,-156,129,9.0,129,,,0.609,RL -1.5 (home),0.461,0.461,0.437,129,0.0246,,False,0.024,2.0,2.16,0.0241,0.4415,0.429901,0.417455,True,True,True,0.5626,0.5626,0.6935,0.1309,0.0191,True,0.0194,True,,,-0.0241,0.5585,0.570099,0.582545,True,True,False,2.0,0.0,0.0207,0.6032,0.588397,0.582545,True,True,,,,OVER,9.0,0.4003,0.476461,0.521739,False,False,0.4003,0.476461,0.523539,0.521739,0.478261,5,12,4.09,14.18,10.09,5.5,0.395,0.4524,-0.0574,110.0,-146.0,4.5,0.4169,0.5395,-0.1226,-146.0,110.0,,,,,,,,,False,4:05 pm ET,,,2.98,1.81,4.79,0.6183,0.4305,0.3822,0.4499,0.3052,0.594,0.362,5.07,4.25,0.715,0.5493,0.395,0.2641,0.5941,0.4169,0.2685,0.157,0.0,2,4,1,3,3,6,[]
KC @ NYY,NYY,KC,RYAN WEATHERS,COLE RAGANS,NORMAL,NORMAL,0.3572,0.3207,48.6,0.419,0.422,0.421,0.519,0.328,0.672,5.1,4.3,2,7,2,6,9.44,9.25,-156,129,8.0,135,,,0.609,RL +1.5 (away),0.579,0.579,0.535,-115,0.0445,*,False,0.044,,,,0.5336,0.419764,0.407089,False,False,False,0.5674,0.5674,0.7547,0.1873,0.0258,True,0.0259,True,,,,0.4664,0.580236,0.592911,False,False,False,,,-0.0046,0.5779,0.597102,0.582545,True,False,2.0,0.0,0.0239,OVER,8.0,0.5065,0.486433,0.482636,True,True,0.5065,0.486433,0.513567,0.482636,0.517364,6,12,4.65,14.93,10.28,5.5,0.5921,0.4635,0.1286,114.0,-152.0,6.5,0.3428,0.4767,-0.1339,-114.0,-114.0,,,,,,,,OVER 8.0,False,1:35 pm ET,,,2.58,2.55,5.13,0.4134,0.2503,0.3577,0.4032,0.4007,0.515,0.51,6.44,5.66,0.8485,0.7327,0.5921,0.45,0.7761,0.633,0.4818,0.3428,0.0,1,4,1,4,4,7,[]
SD @ LAA,LAA,SD,REID DETMERS,MICHAEL KING,VOLATILE,NORMAL,0.2647,0.3118,77.9,0.404,0.338,0.377,0.504,0.311,0.689,4.8,4.1,2,7,2,6,8.88,9.02,-102,-118,8.5,-168,,,0.505,ML (home),0.504,0.504,0.505,-102,-0.0005,,False,0.001,,,,0.3209,0.60908,0.599713,False,False,False,0.4626,0.4626,0.5701,0.1075,0.0154,True,0.0152,True,,,,0.6791,0.39092,0.400287,False,False,False,2.0,0.0,0.0219,0.5045,0.490702,0.482636,True,True,,,,OVER,8.5,0.4569,0.502258,0.5,False,False,0.4569,0.502258,0.497742,0.5,0.5,5,12,4.79,15.13,10.34,5.5,0.5474,0.4896,0.0578,104.0,-138.0,5.5,0.3371,0.5222,-0.1851,-138.0,104.0,,,,,,,AWAY +1.5 *,,False,4:07 pm ET,,,2.79,1.93,4.72,0.5616,0.3745,0.388,0.4284,0.3212,0.555,0.384,6.09,4.68,0.8194,0.6924,0.5474,0.4046,0.6631,0.4934,0.3371,0.2135,0.0,2,4,1,3,3,6,[]
CIN @ MIN,MIN,CIN,BAILEY OBER,BRADY SINGER,NORMAL,NORMAL,0.3097,0.3665,43.2,0.429,0.322,0.386,0.535,0.336,0.664,5.0,3.9,2,7,2,5,8.9,8.89,-126,104,8.0,163,,,0.558,RL +1.5 (away),0.614,0.614,0.588,-143,0.0254,,False,0.026,,,-0.0336,0.33,0.359099,0.363583,True,True,False,0.4415,0.3275,0.5387,0.2112,0.0191,True,0.019,True,1.0,50.0,0.0336,0.67,0.640901,0.636417,True,True,True,2.0,0.0,0.0176,0.5497,0.537853,0.53213,True,True,,,,OVER,8.0,0.4641,0.506775,0.49567,False,False,0.4641,0.506775,0.493225,0.49567,0.50433,5,11,4.62,14.78,10.16,4.5,0.2196,0.567,-0.3474,-154.0,116.0,4.5,0.2436,0.53,-0.2864,-136.0,102.0,,,,,,,AWAY +1.5 *,OVER 8.0,False,2:10 pm ET,,,3.38,2.09,5.47,0.6301,0.4561,0.3339,0.4912,0.3438,0.676,0.423,3.13,3.29,0.3807,0.2196,0.1127,0.0541,0.4141,0.2436,0.1315,0.0631,0.0,2,5,1,3,4,7,[]
