game,home_team,away_team,home_sp,away_sp,home_sp_flag,away_sp_flag,home_sp_xwoba,away_sp_xwoba,temp_f,mc_rl,xgb_rl,blended_rl,mc_home_win,mc_home_cvr25,mc_away_cvr25,home_runs_mean,away_runs_mean,home_runs_lo,home_runs_hi,away_runs_lo,away_runs_hi,mc_total,blended_total,vegas_ml_home,vegas_ml_away,vegas_total,rl_odds,alt_home_25_odds,alt_away_25_odds,vegas_implied,best_line,best_model_prob,best_raw_model,best_market_implied,best_market_odds,best_edge,best_tier,best_tier_capped,market_deviation,rl_home_line,lock_tier,lock_dollars,lock_edge,lock_p_model,lock_p_true,lock_retail_implied,lock_sanity_pass,lock_odds_floor_pass,lock_edge_pass,xgb_rl_raw,ensemble_min,ensemble_max,model_spread,p_std,variance_gate,p_std_away,variance_gate_away,away_lock_tier,away_lock_dollars,away_lock_edge,away_lock_p_model,away_lock_p_true,away_lock_retail_implied,away_lock_sanity_pass,away_lock_odds_floor_pass,away_lock_edge_pass,ml_lock_tier,ml_lock_dollars,ml_lock_edge,ml_lock_p_model,ml_lock_p_true,ml_lock_retail_implied,ml_lock_sanity_pass,ml_lock_edge_pass,ou_lock_tier,ou_lock_dollars,ou_lock_edge,ou_direction,ou_posted_line,ou_p_model,ou_p_true,ou_p_retail,ou_lock_sanity_pass,ou_lock_edge_pass,mc_over_prob,p_true_over,p_true_under,retail_implied_over,retail_implied_under,mc_total_lo,mc_total_hi,total_floor_10th,total_ceiling_90th,total_variance_spread,home_k_line,home_k_model_over,home_k_implied_over,home_k_edge,home_k_over_odds,home_k_under_odds,away_k_line,away_k_model_over,away_k_implied_over,away_k_edge,away_k_over_odds,away_k_under_odds,pp_home_k_line,pp_home_k_model,pp_home_k_edge,pp_away_k_line,pp_away_k_model,pp_away_k_edge,rl_signal,total_signal,lineup_confirmed,game_time_et,home_lineup_wrc,away_lineup_wrc,mc_f5_home_runs,mc_f5_away_runs,mc_f5_total,mc_f5_home_win_prob,mc_f5_away_win_prob,mc_f5_home_covers_rl,mc_nrfi_prob,mc_p_home_scores_f1,mc_p_away_scores_f1,mc_f1_home_runs,mc_f1_away_runs,mc_home_sp_k_mean,mc_away_sp_k_mean,mc_home_sp_k_over_35,mc_home_sp_k_over_45,mc_home_sp_k_over_55,mc_home_sp_k_over_65,mc_away_sp_k_over_35,mc_away_sp_k_over_45,mc_away_sp_k_over_55,mc_away_sp_k_over_65,ump_k_above_avg,mc_f5_home_runs_lo,mc_f5_home_runs_hi,mc_f5_away_runs_lo,mc_f5_away_runs_hi,mc_f5_total_lo,mc_f5_total_hi,batter_props
COL @ NYM,NYM,COL,KODAI SENGA,JOSE QUINTANA,GAINER,NORMAL,0.3145,0.3824,42.8,0.376,0.491,0.422,0.484,0.28,0.72,4.5,4.1,2,6,2,6,8.56,8.67,-207,169,7.5,102,,,0.674,RL +1.5 (away),0.578,0.578,0.451,-82.0,0.1271,*,True,0.127,-1.5,2.0,3.39,0.028,0.5019,0.46729,0.473913,True,True,True,0.5938,0.1339,0.5938,0.4599,0.0167,True,0.0173,True,,,-0.028,0.4981,0.53271,0.526087,True,True,False,,,,0.6078,0.651592,0.644606,False,False,1.0,3.0,0.0408,OVER,7.5,0.53,0.490834,0.489166,True,True,0.53,0.490834,0.509166,0.489166,0.510834,5,11,5.1,13.84,8.74,,,,,,,,,,,,,,,,,,,,OVER 7.5,False,4:10 pm ET,,,2.83,2.24,5.07,0.513,0.309,0.332,0.3619,0.4323,0.3625,0.564,0.45,4.7,2.86,0.6622,0.4918,0.3385,0.2152,0.3218,0.1726,0.0831,0.036,0.0,2,4,1,3,3,6,[]
PIT @ MIL,MIL,PIT,JACOB MISIOROWSKI,MITCH KELLER,NORMAL,NORMAL,0.2724,0.3104,48.0,0.4,0.659,0.503,0.506,0.301,0.699,4.6,4.1,2,6,2,6,8.7,8.52,102,-122,7.0,-171,,,0.495,RL +1.5 (away),0.497,0.497,0.398,151.0,0.0981,*,True,0.099,-1.5,,,,0.4761,0.600246,0.603285,False,False,False,0.6828,0.0772,0.6828,0.6056,0.0143,True,0.0141,True,,,,0.5239,0.399754,0.396715,False,False,False,2.0,1.96,0.0251,0.499,0.46492,0.473913,True,True,1.0,3.5,0.031,OVER,7.0,0.531,0.50458,0.5,True,True,0.531,0.50458,0.49542,0.5,0.5,5,11,4.72,13.64,8.93,,,,,,,,,,,,,,,,,,,,OVER 7.0,False,7:10 pm ET,,,2.6,2.01,4.61,0.5132,0.3024,0.327,0.3964,0.4064,0.3322,0.518,0.401,7.29,4.06,0.8992,0.8072,0.6899,0.5622,0.5604,0.3792,0.233,0.1329,0.0,1,4,1,3,3,6,[]
BOS @ BAL,BAL,BOS,TREVOR ROGERS,GARRETT CROCHET,NORMAL,NORMAL,0.2991,0.3465,53.9,0.429,0.557,0.481,0.538,0.331,0.669,4.7,3.7,2,6,2,5,8.41,8.43,-126,104,8.5,159,,,0.558,RL -1.5 (home),0.481,0.481,0.386,159.0,0.0946,*,True,0.095,-1.5,,,,0.4801,0.356961,0.369133,False,False,False,0.6276,0.1527,0.6276,0.4749,0.0194,True,0.0193,True,,,,0.5199,0.643039,0.630867,False,False,False,2.0,0.0,0.0185,0.5506,0.52644,0.53213,True,True,,,,OVER,8.5,0.4231,0.513761,0.517364,False,False,0.4231,0.513761,0.486239,0.517364,0.482636,5,11,4.65,13.91,9.26,,,,,,,,,,,,,,,,,,,,,False,12:05 pm ET,,,2.82,2.01,4.83,0.5523,0.2736,0.368,0.3792,0.4313,0.3332,0.562,0.402,5.0,4.99,0.7049,0.5409,0.382,0.251,0.7029,0.5414,0.3853,0.2546,0.0,2,4,1,3,3,6,[]
CLE @ TOR,TOR,CLE,KEVIN GAUSMAN,JOEY CANTILLO,NORMAL,NORMAL,0.2903,0.309,47.7,0.361,0.59,0.453,0.473,0.268,0.732,4.2,4.0,2,6,2,6,8.23,8.33,100,-121,8.0,-169,,,0.5,RL +1.5 (away),0.547,0.547,0.402,149.0,0.1454,*,True,0.145,-1.5,,,,0.472,0.588397,0.600244,False,False,False,0.6484,0.1224,0.6484,0.526,0.0146,True,0.0149,True,,,,0.528,0.411603,0.399756,False,False,False,2.0,0.0,0.0132,0.4905,0.467051,0.477322,True,True,,,,OVER,8.0,0.4039,0.521573,0.517364,False,False,0.4039,0.521573,0.478427,0.517364,0.482636,5,11,4.63,13.8,9.17,,,,,,,,,,,,,,,,,,,,,False,3:07 pm ET,,,2.2,1.99,4.19,0.4402,0.3605,0.2546,0.4319,0.3561,0.3293,0.433,0.4,5.5,5.34,0.7629,0.6169,0.4636,0.326,0.7464,0.5925,0.4375,0.301,0.0,1,3,1,3,3,5,[]
WSH @ CWS,CWS,WSH,NOAH SCHULTZ,JAKE IRVIN,UNKNOWN,NORMAL,0.2516,0.3488,50.0,0.387,0.48,0.424,0.487,0.298,0.702,4.8,4.5,2,7,2,6,9.32,9.0,-126,104,9.5,-189,,,0.558,RL +1.5 (away),0.576,0.576,0.372,169.0,0.2045,*,True,0.204,-1.5,,,,0.4583,0.373433,0.625138,False,False,False,0.5894,0.0927,0.5894,0.4967,0.0162,True,0.0156,True,,,,0.5417,0.626567,0.374862,False,False,False,,,0.0006,0.5327,0.54136,0.53213,True,False,,,,OVER,9.5,0.4138,0.478427,0.478261,False,False,0.4138,0.478427,0.521573,0.478261,0.521739,6,12,4.62,13.85,9.23,,,,,,,,,,,,,,,,,,,,,False,4:10 pm ET,,,2.72,1.78,4.5,0.5783,0.2421,0.3839,0.4059,0.4197,0.3005,0.539,0.358,5.02,4.94,0.7072,0.5427,0.3864,0.2537,0.6947,0.5286,0.3714,0.2428,0.0,2,4,1,3,3,6,[]
MIN @ TB,TB,MIN,SHANE MCCLANAHAN,BAILEY OBER,UNKNOWN,NORMAL,0.3066,0.3073,77.7,0.321,0.42,0.361,0.412,0.245,0.755,4.9,5.3,2,7,3,7,10.19,9.5,-136,113,7.5,159,,,0.576,RL +1.5 (away),0.639,0.639,0.582,-139.0,0.0575,,True,0.057,-1.5,,,,0.4423,0.365005,0.369133,False,False,False,0.5523,0.1025,0.5523,0.4498,0.0207,True,0.0204,True,,,,0.5577,0.634995,0.630867,False,False,False,,,-0.0324,0.5187,0.554264,0.551058,True,False,,,,OVER,7.5,0.6543,0.513761,0.510834,False,False,0.6543,0.513761,0.486239,0.510834,0.489166,6,13,4.58,13.81,9.23,,,,,,,,,,,,,,,,,,,AWAY +1.5 *,OVER 7.5,False,4:10 pm ET,,,2.6,2.65,5.26,0.3993,0.4203,0.2412,0.3485,0.4061,0.4131,0.522,0.533,4.55,4.31,0.6373,0.466,0.3116,0.1925,0.6024,0.4249,0.2772,0.1657,0.0,1,4,1,4,4,7,[]
LAA @ KC,KC,LAA,COLE RAGANS,WALBERT URENA,NORMAL,UNKNOWN,0.3503,0.2574,72.1,0.204,0.401,0.283,0.279,0.145,0.855,3.9,6.2,2,5,3,8,10.09,9.58,-110,-110,8.5,-181,,,0.524,RL +1.5 (away),0.717,0.717,0.383,161.0,0.334,*,True,0.334,-1.5,,,,0.4697,0.334547,0.615958,False,False,False,0.5484,0.1726,0.5484,0.3758,0.0233,True,0.0228,True,,,,0.5303,0.665453,0.384042,False,False,False,,,,0.4381,0.5,0.5,False,False,,,,OVER,8.5,0.5515,0.490834,0.489166,False,False,0.5515,0.490834,0.509166,0.489166,0.510834,6,13,4.77,14.3,9.53,,,,,,,,,,,,,,,,,,,AWAY +1.5 **,OVER 8.5,False,7:10 pm ET,,,1.76,3.31,5.07,0.1756,0.6798,0.0785,0.3683,0.2841,0.4855,0.334,0.665,5.37,3.88,0.7526,0.5991,0.443,0.3069,0.5267,0.351,0.2138,0.1169,0.0,1,3,2,4,3,6,[]
DET @ CIN,CIN,DET,BRADY SINGER,JACK FLAHERTY,NORMAL,NORMAL,0.3605,0.3388,74.6,0.344,0.704,0.488,0.437,0.264,0.736,4.8,5.0,2,7,2,7,9.86,9.41,-342,244,14.5,324,,,0.774,RL -1.5 (home),0.488,0.488,0.236,324.0,0.252,*,True,0.252,-1.5,,,,0.551,0.442607,0.221657,False,False,False,0.7073,0.2998,0.7073,0.4075,0.0162,True,0.0163,True,,,,0.449,0.557393,0.778343,False,False,False,,,,0.656,0.891373,0.726904,False,False,,,,OVER,14.5,0.1697,0.457585,0.546257,False,False,0.1697,0.457585,0.542415,0.546257,0.453743,6,13,4.82,14.57,9.75,,,,,,,,,,,,,,,,,,,,UNDER 14.5,False,7:15 pm ET,,,2.81,3.27,6.07,0.3453,0.491,0.2079,0.2957,0.4298,0.4815,0.561,0.659,3.72,4.68,0.4969,0.3212,0.1889,0.1008,0.6611,0.4888,0.3325,0.2112,0.0,2,4,2,4,4,8,[]
PHI @ ATL,ATL,PHI,BRYCE ELDER,ZACK WHEELER,NORMAL,NORMAL,0.2868,0.3274,67.8,0.531,0.502,0.52,0.631,0.433,0.567,5.9,3.8,3,8,2,5,9.69,9.33,-149,123,9.0,139,,,0.598,RL -1.5 (home),0.52,0.52,0.418,139.0,0.1011,*,True,0.102,-1.5,,,,0.5141,0.39918,0.400287,False,False,False,0.5921,0.2826,0.5921,0.3095,0.0126,True,0.0128,True,,,,0.4859,0.60082,0.599713,False,False,False,,,,0.6097,0.566426,0.571628,False,False,,,,OVER,9.0,0.4455,0.493128,0.5,False,False,0.4455,0.493128,0.506872,0.5,0.5,6,12,4.95,14.18,9.23,,,,,,,,,,,,,,,,,,,,,False,7:15 pm ET,,,3.31,2.05,5.36,0.6259,0.2177,0.4477,0.3415,0.4837,0.3386,0.661,0.414,4.72,4.22,0.6643,0.4943,0.3371,0.2125,0.5901,0.4132,0.2615,0.1549,0.0,2,4,1,3,4,7,[]
SEA @ STL,STL,SEA,MATTHEW LIBERATORE,BRYAN WOO,NORMAL,NORMAL,0.3112,0.2563,72.5,0.266,0.581,0.392,0.364,0.188,0.812,3.8,4.7,2,5,2,6,8.48,8.89,,,,,,,,,0.3921,0.3921,,,0.0,,False,0.0,-1.5,,,,0.5052,,,False,False,False,0.6387,0.0687,0.6387,0.57,0.0224,True,0.0219,True,,,,0.4948,,,False,False,False,,,,0.364,,,False,False,,,,OVER,,,,,False,False,,,,,,5,11,5.74,15.11,9.37,,,,,,,,,,,,,,,,,,,AWAY +1.5 *,,False,2:15 pm ET,,,1.87,2.41,4.28,0.3034,0.5034,0.1529,0.4243,0.3116,0.3836,0.369,0.484,3.87,4.72,0.5218,0.3475,0.2075,0.1146,0.6691,0.4992,0.3423,0.2172,0.0,1,3,1,3,3,6,[]
