date,game,bet_label,source,script,bet_type,model_decimal_odds,recommended_$,current_decimal_odds,slip_pct,slip_abs,slip_warning,corr_tax_model,corr_tax_observed,gate_flag,execution_risk,adjusted_$,notes
2026-04-24,PIT @ MIL,PIT @ MIL | B_Explosion,sgp,B_Explosion,,14.064697609001406,,14.0647,0.0,0.0,0,0.15,-1.8973,0,LOW,,No execution risk detected
2026-04-24,DET @ CIN,DET @ CIN | B_Explosion,sgp,B_Explosion,,13.60544217687075,,13.6054,0.0,0.0,0,0.15,-1.8428,0,LOW,,No execution risk detected
2026-04-24,CLE @ TOR,CLE @ TOR | B_Explosion,sgp,B_Explosion,,13.10615989515072,,13.1062,0.0,0.0,0,0.15,-1.8038,0,LOW,,No execution risk detected
2026-04-24,LAA @ KC,LAA @ KC | B_Explosion,sgp,B_Explosion,,11.668611435239207,,11.6686,0.0,0.0,0,0.15,-1.6716,0,LOW,,No execution risk detected
2026-04-24,BOS @ BAL,BOS @ BAL | B_Explosion,sgp,B_Explosion,,11.337868480725623,,11.3379,0.0,0.0,0,0.15,-1.632,0,LOW,,No execution risk detected
2026-04-24,WSH @ CWS,WSH @ CWS | B_Explosion,sgp,B_Explosion,,11.086474501108647,,11.0865,0.0,0.0,0,0.15,-1.5947,0,LOW,,No execution risk detected
2026-04-24,PHI @ ATL,PHI @ ATL | B_Explosion,sgp,B_Explosion,,10.050251256281406,,10.0503,0.0,0.0,0,0.15,-1.4731,0,LOW,,No execution risk detected
2026-04-24,MIN @ TB,MIN @ TB | B_Explosion,sgp,B_Explosion,,9.79431929480901,,9.7943,0.0,0.0,0,0.15,-1.4501,0,LOW,,No execution risk detected
2026-04-24,COL @ NYM,COL @ NYM | B_Explosion,sgp,B_Explosion,,7.215007215007215,,7.215,0.0,0.0,0,0.15,-1.0767,0,LOW,,No execution risk detected
2026-04-24,DET @ CIN,DET @ CIN | A2_Dominance,sgp,A2_Dominance,,14.947683109118087,,14.9477,0.0,0.0,0,0.15,-0.9111,0,LOW,,No execution risk detected
2026-04-24,MIN @ TB,MIN @ TB | A2_Dominance,sgp,A2_Dominance,,11.947431302270012,,11.9474,0.0,0.0,0,0.15,-0.8173,0,LOW,,No execution risk detected
2026-04-24,PIT @ MIL,PIT @ MIL | A2_Dominance,sgp,A2_Dominance,,10.764262648008613,,10.7643,0.0,0.0,0,0.15,-0.8005,0,LOW,,No execution risk detected
2026-04-24,CLE @ TOR,CLE @ TOR | A2_Dominance,sgp,A2_Dominance,,8.76424189307625,,8.7642,0.0,0.0,0,0.15,-0.7789,0,LOW,,No execution risk detected
2026-04-24,COL @ NYM,COL @ NYM | A2_Dominance,sgp,A2_Dominance,,11.210762331838565,,11.2108,0.0,0.0,0,0.15,-0.7693,0,LOW,,No execution risk detected
2026-04-24,LAA @ KC,LAA @ KC | A2_Dominance,sgp,A2_Dominance,,10.845986984815617,,10.846,0.0,0.0,0,0.15,-0.7456,0,LOW,,No execution risk detected
2026-04-24,BOS @ BAL,BOS @ BAL | A2_Dominance,sgp,A2_Dominance,,7.49063670411985,,7.4906,0.0,0.0,0,0.15,-0.6779,0,LOW,,No execution risk detected
2026-04-24,PHI @ ATL,PHI @ ATL | A2_Dominance,sgp,A2_Dominance,,7.027406886858748,,7.0274,0.0,0.0,0,0.15,-0.6481,0,LOW,,No execution risk detected
2026-04-24,DET @ CIN,DET @ CIN | C_EliteDuel,sgp,C_EliteDuel,,27.77777777777778,,27.7778,0.0,0.0,0,0.15,-0.383,0,LOW,,No execution risk detected
2026-04-24,PIT @ MIL,PIT @ MIL | C_EliteDuel,sgp,C_EliteDuel,,24.93765586034913,,24.9377,0.0,0.0,0,0.15,-0.3475,0,LOW,,No execution risk detected
2026-04-24,COL @ NYM,COL @ NYM | C_EliteDuel,sgp,C_EliteDuel,,21.83406113537118,,21.8341,0.0,0.0,0,0.15,-0.3383,0,LOW,,No execution risk detected
2026-04-24,CLE @ TOR,CLE @ TOR | C_EliteDuel,sgp,C_EliteDuel,,20.04008016032064,,20.0401,0.0,0.0,0,0.15,-0.3271,0,LOW,,No execution risk detected
2026-04-24,MIN @ TB,MIN @ TB | C_EliteDuel,sgp,C_EliteDuel,,18.51851851851852,,18.5185,0.0,0.0,0,0.15,-0.3055,0,LOW,,No execution risk detected
2026-04-24,LAA @ KC,LAA @ KC | C_EliteDuel,sgp,C_EliteDuel,,13.458950201884251,,13.459,0.0,0.0,0,0.15,-0.2643,0,LOW,,No execution risk detected
2026-04-24,BOS @ BAL,BOS @ BAL | C_EliteDuel,sgp,C_EliteDuel,,11.037527593818984,,11.0375,0.0,0.0,0,0.15,-0.2411,0,LOW,,No execution risk detected
2026-04-24,PHI @ ATL,PHI @ ATL | C_EliteDuel,sgp,C_EliteDuel,,9.891196834817013,,9.8912,0.0,0.0,0,0.15,-0.2328,0,LOW,,No execution risk detected
2026-04-24,DET @ CIN,DET @ CIN | D_LateDivergence,sgp,D_LateDivergence,,4.537205081669692,,4.5372,0.0,0.0,0,0.15,-0.0613,0,LOW,,No execution risk detected
2026-04-24,CHC @ LAD,CHC @ LAD | D_LateDivergence,sgp,D_LateDivergence,,4.524886877828054,,4.5249,0.0,0.0,0,0.15,-0.0612,0,LOW,,No execution risk detected
2026-04-24,COL @ NYM,COL @ NYM | D_LateDivergence,sgp,D_LateDivergence,,4.526935264825712,,4.5269,0.0,0.0,0,0.15,-0.0608,0,LOW,,No execution risk detected
