game_date,home_team,away_team,home_starter,away_starter,actual_game_total,actual_f5_total,actual_f3_total,actual_f1_total,actual_home_win,game_pk
2026-03-21,WSH,NYM,CADE CAVALLI,ID:680933,4.0,0.0,0.0,0.0,True,831448
2026-03-21,STL,MIA,ID:695766,JANSON JUNK,11.0,9.0,5.0,4.0,True,831449
2026-03-21,BAL,PHI,ID:694370,ID:680743,18.0,7.0,3.0,2.0,True,831499
2026-03-21,BOS,ATL,GARRETT CROCHET,CHRIS SALE,7.0,7.0,5.0,0.0,False,831502
2026-03-21,NYM,HOU,JONAH TONG,MIKE BURROWS,12.0,4.0,3.0,0.0,False,831549
2026-03-21,PIT,TOR,PAUL SKENES,KEVIN GAUSMAN,11.0,4.0,1.0,0.0,True,831553
2026-03-21,TB,MIN,ID:691765,JOE RYAN,5.0,2.0,1.0,0.0,True,831599
2026-03-21,DET,NYY,FRAMBER VALDEZ,CAM SCHLITTLER,4.0,2.0,0.0,0.0,True,831601
2026-03-21,AZ,TEX,RYNE NELSON,AUSTIN GOMBER,7.0,3.0,3.0,0.0,True,831734
2026-03-21,MIL,SD,ROBERT GASSER,RANDY VÁSQUEZ,7.0,3.0,0.0,0.0,True,831767
2026-03-21,KC,COL,COLE RAGANS,KYLE FREELAND,11.0,5.0,0.0,0.0,True,831868
2026-03-21,SF,CLE,ROBBIE RAY,TANNER BIBEE,17.0,9.0,3.0,0.0,True,831873
2026-03-21,CIN,CWS,ANDREW ABBOTT,ID:699151,18.0,12.0,3.0,1.0,True,831916
2026-03-21,SEA,CHC,GEORGE KIRBY,COLIN REA,8.0,2.0,2.0,1.0,False,831923
2026-03-21,LAD,ATH,EMMET SHEEHAN,JACOB LOPEZ,10.0,8.0,4.0,0.0,False,831937
2026-03-22,MIA,NYM,SANDY ALCÁNTARA,DAVID PETERSON,7.0,4.0,1.0,0.0,True,831446
2026-03-22,MIN,ATL,TAJ BRADLEY,REYNALDO LÓPEZ,10.0,8.0,3.0,3.0,True,831492
2026-03-22,NYY,PHI,WILL WARREN,AARON NOLA,8.0,4.0,0.0,0.0,True,831493
2026-03-22,HOU,STL,CRISTIAN JAVIER,MICHAEL MCGREEVY,5.0,2.0,2.0,0.0,False,831496
2026-03-22,BAL,WSH,KYLE BRADISH,MITCHELL PARKER,9.0,2.0,2.0,0.0,True,831503
2026-03-22,PIT,BOS,MITCH KELLER,SONNY GRAY,9.0,3.0,2.0,1.0,False,831552
2026-03-22,TOR,TB,DYLAN CEASE,NICK MARTÍNEZ,15.0,13.0,6.0,6.0,True,831592
2026-03-22,CWS,SEA,SEAN BURKE,BRYAN WOO,6.0,2.0,1.0,0.0,False,831746
2026-03-22,CHC,MIL,CADE HORTON,CHAD PATRICK,12.0,9.0,5.0,0.0,True,831789
2026-03-22,LAA,LAD,ID:691946,TYLER GLASNOW,18.0,11.0,11.0,0.0,False,831804
2026-03-22,CLE,CIN,GAVIN WILLIAMS,NICK LODOLO,10.0,8.0,7.0,3.0,True,831896
2026-03-22,COL,ATH,MICHAEL LORENZEN,JEFFREY SPRINGS,11.0,7.0,4.0,2.0,True,831945
2026-03-22,SD,AZ,WALKER BUEHLER,JOHN CURTISS,12.0,8.0,4.0,0.0,False,831947
2026-03-23,PIT,ATL,CARSON FULMER,DIDIER FUENTES,7.0,4.0,2.0,1.0,False,831447
2026-03-23,WSH,BAL,PJ POULIN,SHANE BAZ,2.0,0.0,0.0,0.0,False,831546
2026-03-23,PHI,TB,JESÚS LUZARDO,STEVEN MATZ,7.0,0.0,0.0,0.0,False,831547
2026-03-23,SD,SEA,KYLE HART,LUIS CASTILLO,13.0,3.0,2.0,1.0,True,831735
2026-03-23,CHC,NYY,SHOTA IMANAGA,ID:801739,21.0,12.0,8.0,2.0,True,831780
2026-03-23,LAD,LAA,ROKI SASAKI,REID DETMERS,14.0,9.0,4.0,4.0,False,831821
2026-03-23,TEX,KC,MACKENZIE GORE,MICHAEL WACHA,5.0,2.0,2.0,0.0,True,831838
2026-03-23,COL,DET,RYAN FELTNER,JACK FLAHERTY,11.0,8.0,4.0,0.0,True,831857
2026-03-23,AZ,CLE,MERRILL KELLY,SLADE CECCONI,7.0,6.0,5.0,2.0,False,831885
2026-03-23,ATH,CWS,LUIS MORALES,ANTHONY KAY,19.0,16.0,3.0,3.0,True,831915
2026-03-23,BOS,MIN,JOHAN OVIEDO,BAILEY OBER,15.0,11.0,3.0,0.0,False,832036
2026-03-23,MIL,CIN,AARON ASHBY,BRADY SINGER,10.0,8.0,5.0,0.0,True,832078
2026-03-24,ATL,TB,GRANT HOLMES,CAM BOOSER,5.0,4.0,2.0,0.0,True,831545
2026-03-24,CHC,NYY,EDWARD CABRERA,GERRIT COLE,11.0,7.0,3.0,1.0,False,831779
2026-03-24,LAD,LAA,SHOHEI OHTANI,JACK KOCHANOWICZ,3.0,3.0,0.0,0.0,False,831820
2026-03-24,TEX,KC,JACK LEITER,SETH LUGO,5.0,3.0,1.0,1.0,True,831837
2026-03-24,COL,DET,TOMOYUKI SUGANO,JUSTIN VERLANDER,19.0,12.0,5.0,2.0,False,831856
2026-03-24,AZ,CLE,MICHAEL SOROKA,PARKER MESSICK,15.0,10.0,6.0,4.0,False,831887
2026-03-24,MIN,BOS,ZAK KENT,RANGER SUÁREZ,21.0,14.0,9.0,3.0,True,832037
2026-03-24,MIL,CIN,BRANDON SPROAT,CHASE BURNS,5.0,2.0,1.0,0.0,True,832077
2026-03-25,SF,NYY,LOGAN WEBB,MAX FRIED,7.0,7.0,5.0,0.0,False,823244
2026-03-26,STL,TB,MATTHEW LIBERATORE,DREW RASMUSSEN,16.0,2.0,1.0,0.0,True,823081
2026-03-26,SEA,CLE,LOGAN GILBERT,TANNER BIBEE,10.0,6.0,3.0,2.0,False,823163
2026-03-26,SD,DET,NICK PIVETTA,TARIK SKUBAL,10.0,8.0,6.0,4.0,False,823325
2026-03-26,PHI,TEX,CRISTOPHER SÁNCHEZ,NATHAN EOVALDI,8.0,5.0,2.0,2.0,True,823486
2026-03-26,NYM,PIT,FREDDY PERALTA,PAUL SKENES,18.0,13.0,8.0,7.0,True,823649
2026-03-26,MIL,CWS,JACOB MISIOROWSKI,SHANE SMITH,16.0,9.0,5.0,1.0,True,823812
2026-03-26,LAD,AZ,YOSHINOBU YAMAMOTO,ZAC GALLEN,10.0,6.0,0.0,0.0,True,823974
2026-03-26,HOU,LAA,HUNTER BROWN,JOSÉ SORIANO,3.0,0.0,0.0,0.0,False,824218
2026-03-26,CIN,BOS,ANDREW ABBOTT,GARRETT CROCHET,3.0,0.0,0.0,0.0,False,824541
2026-03-26,CHC,WSH,MATT BOYD,CADE CAVALLI,14.0,10.0,3.0,0.0,False,824704
2026-03-26,BAL,MIN,TREVOR ROGERS,JOE RYAN,3.0,0.0,0.0,0.0,True,824865
2026-03-27,TOR,ATH,KEVIN GAUSMAN,LUIS SEVERINO,5.0,3.0,0.0,0.0,True,822839
2026-03-27,SEA,CLE,GEORGE KIRBY,GAVIN WILLIAMS,6.0,4.0,1.0,1.0,True,823162
2026-03-27,SF,NYY,ROBBIE RAY,CAM SCHLITTLER,3.0,0.0,0.0,0.0,False,823243
2026-03-27,SD,DET,MIKE KING,FRAMBER VALDEZ,7.0,1.0,0.0,0.0,False,823324
2026-03-27,MIA,COL,SANDY ALCÁNTARA,KYLE FREELAND,3.0,3.0,2.0,0.0,True,823893
2026-03-27,LAD,AZ,EMMET SHEEHAN,RYNE NELSON,9.0,8.0,6.0,0.0,True,823971
2026-03-27,HOU,LAA,MIKE BURROWS,YUSEI KIKUCHI,8.0,7.0,5.0,2.0,False,824216
2026-03-27,ATL,KC,CHRIS SALE,COLE RAGANS,6.0,4.0,2.0,1.0,True,824946
2026-03-28,TOR,ATH,DYLAN CEASE,JEFFREY SPRINGS,15.0,1.0,1.0,0.0,True,822838
2026-03-28,STL,TB,MICHAEL MCGREEVY,JOE BOYLE,11.0,2.0,2.0,2.0,True,823082
2026-03-28,SEA,CLE,BRYAN WOO,JOEY CANTILLO,11.0,2.0,1.0,0.0,False,823161
2026-03-28,SF,NYY,TYLER MAHLE,WILL WARREN,4.0,4.0,3.0,0.0,False,823241
2026-03-28,SD,DET,RANDY VÁSQUEZ,JACK FLAHERTY,3.0,3.0,2.0,0.0,True,823323
