"last_name, first_name",player_id,year,pa,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,woba,xwoba,Name,PA,wRC+,K%,BB%,wOBA,xwOBA
"Perkins, Blake",663368,2026,35,25.7,11.4,0.133,0.2,0.235,0.213,0.23,Blake Perkins,35,66.6,0.257,0.114,0.213,0.23
"Schneemann, Daniel",682177,2026,54,27.8,5.6,0.314,0.549,0.352,0.395,0.374,Daniel Schneemann,54,123.4,0.278,0.055999999999999994,0.395,0.374
"Walker, Jordan",691023,2026,85,29.4,9.4,0.312,0.662,0.376,0.449,0.437,Jordan Walker,85,140.3,0.294,0.094,0.449,0.437
"De La Cruz, Elly",682829,2026,93,31.2,10.8,0.265,0.53,0.344,0.385,0.377,Elly De La Cruz,93,120.3,0.312,0.10800000000000001,0.385,0.377
"Okamoto, Kazuma",672960,2026,80,33.8,8.8,0.205,0.301,0.275,0.267,0.281,Kazuma Okamoto,80,83.4,0.33799999999999997,0.08800000000000001,0.267,0.281
"Mullins, Cedric",656775,2026,75,21.3,4.0,0.149,0.284,0.205,0.222,0.225,Cedric Mullins,75,69.4,0.213,0.04,0.222,0.225
"Varsho, Daulton",662139,2026,72,15.3,9.7,0.262,0.462,0.333,0.35,0.319,Daulton Varsho,72,109.4,0.153,0.09699999999999999,0.35,0.319
"Seager, Corey",608369,2026,88,23.9,14.8,0.208,0.458,0.33,0.341,0.357,Corey Seager,88,106.6,0.239,0.14800000000000002,0.341,0.357
"Moreno, Gabriel",672515,2026,45,17.8,6.7,0.275,0.4,0.333,0.328,0.337,Gabriel Moreno,45,102.5,0.17800000000000002,0.067,0.328,0.337
"Thomas, Lane",657041,2026,45,20.0,15.6,0.184,0.211,0.311,0.26,0.296,Lane Thomas,45,81.2,0.2,0.156,0.26,0.296
"Urías, Ramón",602104,2026,42,19.0,11.9,0.194,0.444,0.31,0.338,0.343,Ramón Urías,42,105.6,0.19,0.11900000000000001,0.338,0.343
"Stott, Bryson",681082,2026,59,16.9,6.8,0.204,0.222,0.271,0.237,0.318,Bryson Stott,59,74.1,0.16899999999999998,0.068,0.237,0.318
"Vilade, Ryan",668723,2026,25,24.0,8.0,0.217,0.261,0.28,0.254,0.257,Ryan Vilade,25,79.4,0.24,0.08,0.254,0.257
"Lindor, Francisco",596019,2026,95,17.9,10.5,0.214,0.321,0.305,0.291,0.329,Francisco Lindor,95,90.9,0.179,0.105,0.291,0.329
"Pereira, Everson",677592,2026,36,30.6,8.3,0.273,0.636,0.333,0.418,0.396,Everson Pereira,36,130.6,0.306,0.083,0.418,0.396
"Slater, Austin",596103,2026,27,33.3,14.8,0.182,0.182,0.296,0.24,0.241,Austin Slater,27,75.0,0.33299999999999996,0.14800000000000002,0.24,0.241
"Lee, Brooks",686797,2026,65,16.9,6.2,0.233,0.4,0.292,0.312,0.248,Brooks Lee,65,97.5,0.16899999999999998,0.062,0.312,0.248
"Mayer, Marcelo",691785,2026,59,22.0,10.2,0.176,0.294,0.259,0.255,0.271,Marcelo Mayer,59,79.7,0.22,0.102,0.255,0.271
"Pagés, Pedro",686780,2026,43,18.6,2.3,0.211,0.342,0.262,0.272,0.282,Pedro Pagés,43,85.0,0.18600000000000003,0.023,0.272,0.282
"Carpenter, Kerry",681481,2026,66,36.4,12.1,0.218,0.455,0.318,0.341,0.306,Kerry Carpenter,66,106.6,0.364,0.121,0.341,0.306
"Schwarber, Kyle",656941,2026,88,36.4,14.8,0.211,0.507,0.364,0.388,0.391,Kyle Schwarber,88,121.2,0.364,0.14800000000000002,0.388,0.391
"Cowser, Colton",681297,2026,53,30.2,11.3,0.178,0.2,0.269,0.229,0.252,Colton Cowser,53,71.6,0.302,0.113,0.229,0.252
"Basallo, Samuel",694212,2026,64,26.6,10.9,0.14,0.298,0.234,0.24,0.284,Samuel Basallo,64,75.0,0.266,0.109,0.24,0.284
"Tena, José",677588,2026,36,22.2,5.6,0.364,0.394,0.417,0.373,0.274,José Tena,36,116.6,0.222,0.055999999999999994,0.373,0.274
"DeLauter, Chase",800050,2026,80,13.8,12.5,0.232,0.522,0.325,0.369,0.374,Chase DeLauter,80,115.3,0.138,0.125,0.369,0.374
"Diaz, Yainer",673237,2026,63,15.9,4.8,0.186,0.254,0.222,0.217,0.229,Yainer Diaz,63,67.8,0.159,0.048,0.217,0.229
"Simpson, Chandler",802415,2026,86,7.0,3.5,0.338,0.388,0.361,0.339,0.282,Chandler Simpson,86,105.9,0.07,0.035,0.339,0.282
"Freeland, Alex",690976,2026,57,31.6,7.0,0.196,0.294,0.25,0.248,0.286,Alex Freeland,57,77.5,0.316,0.07,0.248,0.286
"Sheets, Gavin",657757,2026,66,24.2,4.5,0.238,0.476,0.273,0.327,0.317,Gavin Sheets,66,102.2,0.242,0.045,0.327,0.317
"Ramírez, José",608070,2026,95,11.6,16.8,0.215,0.418,0.347,0.345,0.403,José Ramírez,95,107.8,0.11599999999999999,0.168,0.345,0.403
"Aranda, Jonathan",666018,2026,91,23.1,15.4,0.23,0.405,0.341,0.331,0.359,Jonathan Aranda,91,103.4,0.231,0.154,0.331,0.359
"Carter, Evan",694497,2026,75,22.7,17.3,0.186,0.339,0.329,0.312,0.341,Evan Carter,75,97.5,0.22699999999999998,0.17300000000000001,0.312,0.341
"Donovan, Brendan",680977,2026,71,16.9,12.7,0.304,0.518,0.437,0.426,0.339,Brendan Donovan,71,133.1,0.16899999999999998,0.127,0.426,0.339
"Karros, Kyle",691720,2026,67,22.4,17.9,0.185,0.204,0.328,0.268,0.337,Kyle Karros,67,83.8,0.22399999999999998,0.179,0.268,0.337
"Heim, Jonah",641680,2026,26,19.2,11.5,0.217,0.304,0.308,0.286,0.244,Jonah Heim,26,89.4,0.192,0.115,0.286,0.244
"Arozarena, Randy",668227,2026,93,17.2,12.9,0.282,0.372,0.398,0.36,0.36,Randy Arozarena,93,112.5,0.172,0.129,0.36,0.36
"Conine, Griffin",665052,2026,25,24.0,8.0,0.273,0.591,0.36,0.415,0.513,Griffin Conine,25,129.7,0.24,0.08,0.415,0.513
"Hernández, Heriberto",681715,2026,60,21.7,15.0,0.137,0.176,0.267,0.225,0.288,Heriberto Hernández,60,70.3,0.217,0.15,0.225,0.288
"Jeffers, Ryan",680777,2026,64,17.2,12.5,0.278,0.463,0.381,0.374,0.368,Ryan Jeffers,64,116.9,0.172,0.125,0.374,0.368
"Peraza, Oswald",672724,2026,68,23.5,8.8,0.267,0.517,0.343,0.38,0.329,Oswald Peraza,68,118.8,0.235,0.08800000000000001,0.38,0.329
"Arraez, Luis",650333,2026,86,4.7,5.8,0.321,0.385,0.353,0.33,0.306,Luis Arraez,86,103.1,0.047,0.057999999999999996,0.33,0.306
"Taylor, Tyrone",621438,2026,28,10.7,3.6,0.231,0.385,0.259,0.287,0.313,Tyrone Taylor,28,89.7,0.107,0.036000000000000004,0.287,0.313
"Báez, Javier",595879,2026,58,19.0,3.4,0.278,0.426,0.31,0.326,0.315,Javier Báez,58,101.9,0.19,0.034,0.326,0.315
"Tatis Jr., Fernando",665487,2026,91,22.0,12.1,0.253,0.307,0.344,0.304,0.381,Fernando Tatis Jr.,91,95.0,0.22,0.121,0.304,0.381
"Grisham, Trent",663757,2026,76,17.1,18.4,0.145,0.29,0.303,0.284,0.365,Trent Grisham,76,88.8,0.171,0.184,0.284,0.365
"Judge, Aaron",592450,2026,90,28.9,12.2,0.234,0.584,0.337,0.4,0.426,Aaron Judge,90,125.0,0.289,0.122,0.4,0.426
"Yorke, Nick",694377,2026,63,19.0,11.1,0.245,0.302,0.349,0.308,0.342,Nick Yorke,63,96.2,0.19,0.111,0.308,0.342
"Winn, Masyn",691026,2026,69,20.3,13.0,0.19,0.293,0.319,0.293,0.308,Masyn Winn,69,91.6,0.203,0.13,0.293,0.308
"Isbel, Kyle",664728,2026,57,21.1,7.0,0.265,0.408,0.333,0.336,0.298,Kyle Isbel,57,105.0,0.21100000000000002,0.07,0.336,0.298
"Stephenson, Tyler",663886,2026,55,29.1,14.5,0.174,0.304,0.291,0.279,0.359,Tyler Stephenson,55,87.2,0.29100000000000004,0.145,0.279,0.359
"Mayo, Coby",691723,2026,58,27.6,12.1,0.157,0.196,0.259,0.224,0.263,Coby Mayo,58,70.0,0.276,0.121,0.224,0.263
"Ballesteros, Moisés",694208,2026,46,21.7,6.5,0.381,0.619,0.413,0.448,0.364,Moisés Ballesteros,46,140.0,0.217,0.065,0.448,0.364
"Baldwin, Drake",686948,2026,96,17.7,6.3,0.318,0.523,0.375,0.399,0.382,Drake Baldwin,96,124.7,0.177,0.063,0.399,0.382
"Bauers, Jake",641343,2026,71,19.7,9.9,0.234,0.484,0.31,0.341,0.37,Jake Bauers,71,106.6,0.19699999999999998,0.099,0.341,0.37
"Herrera, Iván",671056,2026,93,12.9,19.4,0.2,0.329,0.387,0.328,0.399,Iván Herrera,93,102.5,0.129,0.19399999999999998,0.328,0.399
"Devers, Rafael",646240,2026,90,30.0,5.6,0.212,0.306,0.256,0.251,0.276,Rafael Devers,90,78.4,0.3,0.055999999999999994,0.251,0.276
"Mead, Curtis",678554,2026,44,11.4,9.1,0.2,0.35,0.273,0.283,0.321,Curtis Mead,44,88.4,0.114,0.091,0.283,0.321
"Martin, Austin",668885,2026,61,16.4,23.0,0.295,0.409,0.475,0.413,0.39,Austin Martin,61,129.1,0.16399999999999998,0.23,0.413,0.39
"Gonzales, Nick",693304,2026,66,19.7,6.1,0.242,0.29,0.288,0.267,0.297,Nick Gonzales,66,83.4,0.19699999999999998,0.061,0.267,0.297
"Marte, Noelvi",682622,2026,31,32.3,6.5,0.138,0.138,0.194,0.163,0.161,Noelvi Marte,31,50.9,0.32299999999999995,0.065,0.163,0.161
"Langford, Wyatt",694671,2026,78,21.8,3.8,0.24,0.373,0.269,0.286,0.282,Wyatt Langford,78,89.4,0.218,0.038,0.286,0.282
"Soto, Juan",665742,2026,34,17.6,8.8,0.355,0.516,0.412,0.405,0.321,Juan Soto,34,126.6,0.17600000000000002,0.08800000000000001,0.405,0.321
"Ramos, Heliot",671218,2026,79,31.6,6.3,0.257,0.378,0.304,0.303,0.315,Heliot Ramos,79,94.7,0.316,0.063,0.303,0.315
"Mangum, Jake",663968,2026,47,17.0,10.6,0.268,0.293,0.348,0.294,0.299,Jake Mangum,47,91.9,0.17,0.106,0.294,0.299
"Springer, George",543807,2026,62,22.6,12.9,0.185,0.37,0.29,0.301,0.289,George Springer,62,94.1,0.226,0.129,0.301,0.289
"Correa, Carlos",621043,2026,82,15.9,12.2,0.264,0.375,0.354,0.33,0.361,Carlos Correa,82,103.1,0.159,0.122,0.33,0.361
"Greene, Riley",682985,2026,85,23.5,14.1,0.247,0.37,0.353,0.334,0.386,Riley Greene,85,104.4,0.235,0.141,0.334,0.386
"Lile, Daylen",695734,2026,97,16.5,5.2,0.283,0.38,0.32,0.316,0.342,Daylen Lile,97,98.8,0.165,0.052000000000000005,0.316,0.342
"Muncy, Max",571970,2026,75,33.3,10.7,0.239,0.522,0.32,0.366,0.406,Max Muncy,75,114.4,0.33299999999999996,0.107,0.366,0.406
"Lockridge, Brandon",663604,2026,58,22.4,10.3,0.255,0.294,0.333,0.295,0.261,Brandon Lockridge,58,92.2,0.22399999999999998,0.10300000000000001,0.295,0.261
"Schneider, Davis",676914,2026,38,31.6,18.4,0.194,0.355,0.342,0.326,0.321,Davis Schneider,38,101.9,0.316,0.184,0.326,0.321
"Ramírez, Agustín",682663,2026,83,22.9,9.6,0.233,0.356,0.313,0.3,0.278,Agustín Ramírez,83,93.8,0.22899999999999998,0.096,0.3,0.278
"Crow-Armstrong, Pete",691718,2026,84,28.6,4.8,0.218,0.282,0.265,0.247,0.247,Pete Crow-Armstrong,84,77.2,0.28600000000000003,0.048,0.247,0.247
"Realmuto, J.T.",592663,2026,57,19.3,8.8,0.28,0.38,0.368,0.346,0.313,J.T. Realmuto,57,108.1,0.193,0.08800000000000001,0.346,0.313
"Acuña, Luisangel",682668,2026,64,14.1,4.7,0.207,0.224,0.254,0.225,0.262,Luisangel Acuña,64,70.3,0.141,0.047,0.225,0.262
"Martínez, Angel",682657,2026,67,16.4,4.5,0.279,0.443,0.333,0.348,0.331,Angel Martínez,67,108.7,0.16399999999999998,0.045,0.348,0.331
"Lopez, Otto",672640,2026,84,17.9,6.0,0.342,0.566,0.393,0.419,0.374,Otto Lopez,84,130.9,0.179,0.06,0.419,0.374
"Frelick, Sal",686217,2026,78,15.4,11.5,0.179,0.254,0.286,0.26,0.275,Sal Frelick,78,81.2,0.154,0.115,0.26,0.275
"Lowe, Nathaniel",663993,2026,30,20.0,13.3,0.231,0.346,0.333,0.315,0.376,Nathaniel Lowe,30,98.4,0.2,0.133,0.315,0.376
"Saggese, Thomas",695336,2026,47,29.8,8.5,0.209,0.256,0.277,0.251,0.231,Thomas Saggese,47,78.4,0.298,0.085,0.251,0.231
"Higashioka, Kyle",543309,2026,34,26.5,14.7,0.241,0.345,0.353,0.327,0.323,Kyle Higashioka,34,102.2,0.265,0.147,0.327,0.323
"Naylor, Bo",666310,2026,49,20.4,8.2,0.156,0.244,0.224,0.22,0.369,Bo Naylor,49,68.8,0.204,0.08199999999999999,0.22,0.369
"Fernandez, Jose",699912,2026,56,25.0,0.0,0.304,0.446,0.304,0.332,0.289,Jose Fernandez,56,103.8,0.25,0.0,0.332,0.289
"Lowe, Josh",666139,2026,64,31.3,7.8,0.161,0.339,0.238,0.261,0.223,Josh Lowe,64,81.6,0.313,0.078,0.261,0.223
"Hernández, Teoscar",606192,2026,72,31.9,6.9,0.273,0.5,0.319,0.359,0.326,Teoscar Hernández,72,112.2,0.319,0.069,0.359,0.326
"Burleson, Alec",676475,2026,90,10.0,13.3,0.299,0.481,0.389,0.384,0.418,Alec Burleson,90,120.0,0.1,0.133,0.384,0.418
"Sánchez, Jesús",660821,2026,68,17.6,4.4,0.262,0.41,0.309,0.313,0.359,Jesús Sánchez,68,97.8,0.17600000000000002,0.044000000000000004,0.313,0.359
"Benintendi, Andrew",643217,2026,65,35.4,7.7,0.2,0.367,0.262,0.281,0.311,Andrew Benintendi,65,87.8,0.354,0.077,0.281,0.311
"Happ, Ian",664023,2026,84,32.1,13.1,0.222,0.528,0.333,0.374,0.353,Ian Happ,84,116.9,0.321,0.131,0.374,0.353
"Abrams, CJ",682928,2026,87,13.8,11.5,0.338,0.634,0.448,0.465,0.426,CJ Abrams,87,145.3,0.138,0.115,0.465,0.426
"Horwitz, Spencer",687462,2026,66,19.7,16.7,0.245,0.34,0.379,0.338,0.286,Spencer Horwitz,66,105.6,0.19699999999999998,0.16699999999999998,0.338,0.286
"Torkelson, Spencer",679529,2026,77,28.6,16.9,0.19,0.238,0.338,0.286,0.334,Spencer Torkelson,77,89.4,0.28600000000000003,0.16899999999999998,0.286,0.334
"Hoerner, Nico",663538,2026,92,9.8,9.8,0.325,0.525,0.402,0.41,0.354,Nico Hoerner,92,128.1,0.098,0.098,0.41,0.354
"Hayes, Ke'Bryan",663647,2026,54,7.4,7.4,0.06,0.06,0.13,0.103,0.309,Ke'Bryan Hayes,54,32.2,0.07400000000000001,0.07400000000000001,0.103,0.309
"Henderson, Gunnar",683002,2026,99,29.3,8.1,0.213,0.506,0.283,0.343,0.317,Gunnar Henderson,99,107.2,0.293,0.081,0.343,0.317
"Bregman, Alex",608324,2026,93,16.1,9.7,0.229,0.313,0.301,0.284,0.294,Alex Bregman,93,88.8,0.161,0.09699999999999999,0.284,0.294
"Nimmo, Brandon",607043,2026,97,21.6,9.3,0.302,0.512,0.381,0.394,0.357,Brandon Nimmo,97,123.1,0.21600000000000003,0.09300000000000001,0.394,0.357
"O'Hoppe, Logan",681351,2026,74,20.3,12.2,0.213,0.279,0.338,0.297,0.311,Logan O'Hoppe,74,92.8,0.203,0.122,0.297,0.311
"Bart, Joey",663698,2026,32,43.8,6.3,0.143,0.25,0.219,0.218,0.15,Joey Bart,32,68.1,0.43799999999999994,0.063,0.218,0.15
"Myers, Dane",667472,2026,29,17.2,6.9,0.269,0.269,0.345,0.294,0.432,Dane Myers,29,91.9,0.172,0.069,0.294,0.432
"Vivas, Jorbit",678391,2026,54,11.1,9.3,0.31,0.357,0.423,0.367,0.314,Jorbit Vivas,54,114.7,0.111,0.09300000000000001,0.367,0.314
"Doyle, Brenton",686668,2026,65,35.4,9.2,0.203,0.271,0.277,0.258,0.251,Brenton Doyle,65,80.6,0.354,0.092,0.258,0.251
"Robert Jr., Luis",673357,2026,78,20.5,15.4,0.258,0.379,0.372,0.348,0.353,Luis Robert Jr.,78,108.7,0.205,0.154,0.348,0.353
"Turang, Brice",668930,2026,84,22.6,19.0,0.299,0.582,0.434,0.442,0.419,Brice Turang,84,138.1,0.226,0.19,0.442,0.419
"Barrosa, Jorge",678489,2026,53,34.0,3.8,0.229,0.417,0.275,0.305,0.223,Jorge Barrosa,53,95.3,0.34,0.038,0.305,0.223
"Peña, Jeremy",665161,2026,46,13.0,6.5,0.256,0.349,0.304,0.297,0.361,Jeremy Peña,46,92.8,0.13,0.065,0.297,0.361
"Shaw, Matt",807713,2026,57,19.3,5.3,0.25,0.462,0.286,0.326,0.338,Matt Shaw,57,101.9,0.193,0.053,0.326,0.338
"Gray, Tristan",656484,2026,37,35.1,5.4,0.281,0.5,0.333,0.364,0.3,Tristan Gray,37,113.8,0.35100000000000003,0.054000000000000006,0.364,0.3
"Contreras, Willson",575929,2026,80,28.7,13.8,0.281,0.453,0.425,0.403,0.395,Willson Contreras,80,125.9,0.287,0.138,0.403,0.395
"Wilson, Jacob",805779,2026,87,12.6,1.1,0.256,0.36,0.264,0.278,0.282,Jacob Wilson,87,86.9,0.126,0.011000000000000001,0.278,0.282
"Triolo, Jared",669707,2026,26,19.2,7.7,0.217,0.261,0.308,0.273,0.266,Jared Triolo,26,85.3,0.192,0.077,0.273,0.266
"Cortes, Carlos",666126,2026,41,4.9,14.6,0.257,0.4,0.366,0.351,0.424,Carlos Cortes,41,109.7,0.049,0.146,0.351,0.424
