Name,player_id,year,ERA,xERA,FIP,xFIP,LOB%,IP,K/9,BB/9,HR/9
José Soriano,667755,2026,0.24,2.72,2.19,3.55,0.72,37.2,10.4,3.15,0.24
Seth Lugo,607625,2026,1.15,3.72,2.26,3.96,0.72,31.1,8.1,2.89,0.0
Bryce Elder,693821,2026,1.5,2.3,2.93,3.86,0.72,30.0,8.7,2.7,0.6
Taj Bradley,671737,2026,1.63,3.25,1.7,3.68,0.72,27.2,11.25,3.31,0.0
Parker Messick,800048,2026,1.76,2.7,2.4,3.68,0.72,30.2,8.64,2.38,0.3
Randy Vásquez,681190,2026,1.88,5.39,2.28,3.66,0.72,28.2,9.57,2.55,0.32
Cam Schlittler,693645,2026,1.95,2.26,0.78,2.54,0.72,27.2,11.91,0.99,0.0
Clay Holmes,605280,2026,2.1,3.99,4.13,4.65,0.72,30.0,5.7,3.0,0.9
Nick Martinez,607259,2026,2.1,4.63,3.87,4.42,0.72,30.0,6.0,2.4,0.9
Dylan Cease,656302,2026,2.1,2.84,1.27,3.28,0.72,25.2,15.71,5.0,0.0
Gavin Williams,668909,2026,2.12,3.49,3.89,3.9,0.72,29.2,12.33,5.24,1.23
Shota Imanaga,684007,2026,2.17,2.55,2.86,3.21,0.72,29.0,9.93,1.86,0.93
Bryan Woo,693433,2026,2.25,2.19,2.04,3.79,0.72,32.0,7.31,1.69,0.0
Michael King,650633,2026,2.28,4.57,3.21,4.61,0.72,27.2,8.6,4.63,0.33
Landen Roupp,694738,2026,2.28,2.57,2.14,3.98,0.72,27.2,10.26,3.97,0.0
Max Fried,608331,2026,2.4,2.26,2.59,4.0,0.72,41.1,7.01,2.19,0.22
Davis Martin,663436,2026,2.42,4.73,3.25,3.99,0.72,26.0,6.92,2.08,0.69
Braxton Ashcraft,677952,2026,2.43,1.98,2.28,3.64,0.72,29.2,9.86,2.77,0.31
Yoshinobu Yamamoto,808967,2026,2.48,3.49,3.04,3.56,0.72,32.2,7.83,1.4,0.84
Will Warren,701542,2026,2.49,3.65,2.9,3.25,0.72,25.1,11.12,2.15,1.08
Michael Wacha,608379,2026,2.51,3.44,3.5,4.03,0.72,32.1,7.85,2.8,0.84
Casey Mize,663554,2026,2.51,3.59,2.82,3.78,0.72,28.2,10.21,3.19,0.64
Kevin Gausman,592332,2026,2.54,2.43,2.17,3.08,0.72,28.1,11.21,1.92,0.64
Chase Burns,695505,2026,2.57,3.86,3.99,3.94,0.72,28.0,9.64,3.54,1.29
Nolan McLean,690997,2026,2.67,2.03,2.24,3.1,0.72,30.1,11.36,2.39,0.6
Tarik Skubal,669373,2026,2.72,3.35,1.85,3.28,0.72,36.1,9.47,1.5,0.25
Edward Cabrera,665795,2026,2.79,4.22,3.62,4.54,0.72,29.0,6.83,3.41,0.62
Mitch Keller,656605,2026,2.79,3.96,3.17,4.53,0.72,29.0,5.9,2.79,0.31
Chris Sale,519242,2026,2.79,3.11,4.07,3.63,0.72,29.0,9.0,2.17,1.55
Emerson Hancock,676106,2026,2.83,2.8,3.84,3.23,0.72,28.2,8.94,1.28,1.6
Robbie Ray,592662,2026,2.86,4.42,4.38,3.91,0.72,28.1,9.93,3.52,1.6
Connelly Early,813349,2026,2.88,5.25,3.78,4.69,0.72,25.0,8.64,4.68,0.72
Eduardo Rodriguez,593958,2026,2.89,4.16,4.96,5.05,0.72,28.0,5.79,3.86,1.29
Cristopher Sánchez,650911,2026,2.94,2.76,2.59,3.51,0.72,33.2,11.66,2.71,0.81
George Kirby,669923,2026,2.97,2.89,3.76,3.97,0.72,33.1,7.34,2.18,1.09
Jacob Misiorowski,694819,2026,3.04,2.78,3.25,3.2,0.72,26.2,14.43,4.12,1.37
Sandy Alcantara,645261,2026,3.06,2.82,4.3,4.63,0.72,35.1,5.9,3.08,1.03
Jack Kochanowicz,686799,2026,3.1,5.08,4.0,5.46,0.72,29.0,5.9,5.28,0.31
Rhett Lowder,695076,2026,3.1,4.33,3.24,4.64,0.72,29.0,5.59,2.79,0.31
Tyler Glasnow,607192,2026,3.16,2.59,2.5,3.24,0.72,25.2,11.07,2.5,0.71
Ryan Weathers,677960,2026,3.18,5.79,3.24,3.27,0.72,28.1,11.53,2.56,1.28
Carmen Mlodzinski,669387,2026,3.28,3.11,2.19,4.22,0.72,24.2,9.67,3.72,0.0
Michael McGreevy,700241,2026,3.29,7.44,4.47,4.31,0.72,27.1,4.98,1.66,1.33
Joe Ryan,657746,2026,3.29,2.65,2.18,3.49,0.72,27.1,9.3,1.99,0.33
Framber Valdez,664285,2026,3.3,3.09,3.1,4.59,0.72,30.0,6.0,2.7,0.3
Jeffrey Springs,605488,2026,3.34,2.45,3.96,3.98,0.72,29.2,8.32,2.77,1.23
Foster Griffin,656492,2026,3.38,4.27,4.82,4.26,0.72,26.2,7.56,2.75,1.72
Grant Holmes,656550,2026,3.42,3.16,4.25,4.62,0.72,26.1,7.24,3.79,1.03
Tomoyuki Sugano,608372,2026,3.42,7.81,4.82,4.23,0.72,26.1,6.55,2.07,1.72
Zac Gallen,668678,2026,3.51,5.29,3.85,4.81,0.72,25.2,5.0,2.5,0.71
Janson Junk,676083,2026,3.67,3.54,3.58,4.47,0.72,27.0,5.67,2.33,0.67
Matthew Liberatore,669461,2026,3.67,5.71,5.43,5.0,0.72,27.0,5.33,3.33,1.67
Aaron Civale,650644,2026,3.86,4.02,3.81,4.29,0.72,25.2,7.5,2.5,1.07
Kyle Bradish,680694,2026,3.96,3.06,3.46,4.51,0.72,25.0,10.08,4.68,0.72
Max Meyer,676974,2026,3.96,5.25,3.22,4.2,0.72,25.0,10.08,3.96,0.72
Ranger Suarez,624133,2026,4.0,4.42,4.03,4.38,0.72,27.0,6.33,2.67,1.0
Freddy Peralta,642547,2026,4.05,3.78,4.09,4.05,0.72,26.2,9.62,3.44,1.37
