Season,Name,Tm,PA,AVG,OBP,SLG,OPS,wOBA,wRC+,K%,BB%
2026,New York Mets,NYM,21,0.526,0.571,0.632,1.203,0.45,140.6,0.095,0.095
2026,Boston Red Sox,BOS,22,0.421,0.476,0.632,1.108,0.45,140.6,0.182,0.045
2026,Chicago Cubs,CHC,52,0.391,0.442,0.63,1.072,0.45,140.6,0.173,0.096
2026,Atlanta Braves,ATL,53,0.38,0.396,0.66,1.056,0.45,140.6,0.094,0.038
2026,Tampa Bay Rays,TB,35,0.375,0.429,0.563,0.992,0.45,140.6,0.143,0.057
2026,Toronto Blue Jays,TOR,20,0.375,0.45,0.375,0.825,0.42321428571428577,132.3,0.2,0.15
2026,Los Angeles Dodgers,LAD,74,0.373,0.419,0.582,1.001,0.45,140.6,0.257,0.068
2026,Baltimore Orioles,BAL,46,0.366,0.435,0.561,0.996,0.45,140.6,0.174,0.109
2026,Seattle Mariners,SEA,50,0.361,0.52,0.694,1.214,0.45,140.6,0.14,0.16
2026,Miami Marlins,MIA,40,0.361,0.425,0.417,0.842,0.42214285714285715,131.9,0.1,0.1
2026,Arizona Diamondbacks,ARI,31,0.357,0.419,0.536,0.955,0.45,140.6,0.161,0.065
2026,Texas Rangers,TEX,65,0.356,0.4,0.627,1.027,0.45,140.6,0.169,0.077
2026,Houston Astros,HOU,27,0.348,0.444,0.391,0.835,0.42507142857142854,132.8,0.296,0.148
2026,Philadelphia Phillies,PHI,57,0.347,0.439,0.49,0.929,0.45,140.6,0.193,0.123
2026,Pittsburgh Pirates,PIT,65,0.346,0.477,0.769,1.246,0.45,140.6,0.138,0.185
2026,San Diego Padres,SD,32,0.345,0.406,0.724,1.13,0.45,140.6,0.156,0.094
2026,Colorado Rockies,COL,57,0.34,0.368,0.774,1.142,0.45,140.6,0.175,0.053
2026,Detroit Tigers,DET,71,0.338,0.366,0.441,0.807,0.39278571428571435,122.7,0.211,0.042
2026,Athletics,ATH,83,0.333,0.398,0.587,0.985,0.45,140.6,0.253,0.096
2026,Milwaukee Brewers,MIL,44,0.333,0.395,0.41,0.805,0.40035714285714286,125.1,0.227,0.091
2026,Washington Nationals,WSH,73,0.327,0.479,0.691,1.17,0.45,140.6,0.096,0.151
2026,San Francisco Giants,SF,65,0.322,0.354,0.356,0.71,0.3547142857142857,110.8,0.05,0.062
2026,New York Yankees,NYY,66,0.32,0.47,0.74,1.21,0.45,140.6,0.258,0.227
2026,St. Louis Cardinals,STL,72,0.317,0.417,0.517,0.934,0.45,140.6,0.125,0.153
2026,Minnesota Twins,MIN,43,0.313,0.488,0.406,0.894,0.45,140.6,0.14,0.25
2026,Kansas City Royals,KC,28,0.308,0.321,0.577,0.898,0.41242857142857137,128.9,0.214,0.036
2026,Cleveland Guardians,CLE,50,0.295,0.367,0.523,0.89,0.4227142857142857,132.1,0.26,0.06
