rank,game_label,script,legs,sp_name,sp_side,p_joint_model,p_joint_indep,p_joint_market,sgp_edge,leg_probs,close_total,f5_est,sp_k_line,physics_note,action
1,ATH @ TEX,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),MACKENZIE GORE vs BRYAN WOO,both,0.1634,0.0268,0.0228,6.1771,game_under=0.500 home_k=0.450 away_k=0.476 close=0.250,9.0,5.04,None/6.5,Park=Globe Life Field alt=551ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.69 LHB pull=-0.56 (headwind) | temp=72.0F,PLAY
2,BOS @ BAL,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),KYLE BRADISH vs EDUARDO RODRIGUEZ,both,0.1144,0.0253,0.0215,4.3149,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,9.0,5.04,None/None,Park=Camden Yards alt=36ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.69 LHB pull=-0.43 (headwind) | temp=72.0F,PLAY
3,MIN @ TB,C Elite Duel,Game_Under_7.5 | Both_SP_F5_K>=3 | Close_Game(+1.5),DREW RASMUSSEN vs CAM SCHLITTLER,both,0.1494,0.0332,0.0282,4.2931,game_under=0.500 home_k=0.590 away_k=0.450 close=0.250,7.5,4.2,4.5/None,Park=Tropicana Field alt=45ft roof=fixed | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
4,MIA @ SF,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),TYLER MAHLE vs AARON NOLA,both,0.1091,0.0253,0.0215,4.0721,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,9.0,5.04,None/None,Park=Oracle Park alt=0ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.26 LHB pull=+0.26 (neutral) | temp=72.0F,PLAY
5,WSH @ CWS,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),JORDAN LEASURE vs STEVEN MATZ,both,0.0958,0.0253,0.0215,3.4507,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,9.0,5.04,None/None,Park=? alt=500ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
6,LAA @ KC,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),NOAH CAMERON vs GRANT TAYLOR,both,0.1157,0.0316,0.0268,3.3108,game_under=0.500 home_k=0.561 away_k=0.450 close=0.250,9.0,5.04,4.5/None,Park=Kauffman Stadium alt=886ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
7,DET @ CIN,C Elite Duel,Game_Under_8.5 | Both_SP_F5_K>=3 | Close_Game(+1.5),CHASE BURNS vs LANDEN ROUPP,both,0.0895,0.0253,0.0215,3.1603,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,8.5,4.76,None/None,Park=Great American Ball Park alt=490ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.70 LHB pull=-0.49 (headwind) | temp=72.0F,PLAY
8,PHI @ ATL,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),BRYCE ELDER vs CHRIS PADDACK,both,0.0872,0.0253,0.0215,3.0535,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,9.0,5.04,None/None,Park=Truist Park alt=980ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.54 LHB pull=-0.07 (headwind) | temp=72.0F,PLAY
9,PIT @ MIL,C Elite Duel,Game_Under_7.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),BRANDON SPROAT vs PATRICK CORBIN,both,0.0868,0.0253,0.0215,3.0363,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,7.0,3.92,None/None,Park=American Family Field alt=635ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.61 LHB pull=-0.19 (headwind) | temp=72.0F,PLAY
10,DET @ CIN,A2 Dominance,SP_F5_K>=4 | F5_Under_4.8 | Game_Under_8.5,CHASE BURNS,home,0.3985,0.117,0.0994,3.0066,K_over=0.450 F5_under=0.520 game_under=0.500,8.5,4.76,,Park=Great American Ball Park alt=490ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.70 LHB pull=-0.49 (headwind) | temp=72.0F,PLAY
11,NYY @ HOU,C Elite Duel,Game_Under_9.0 | Both_SP_F5_K>=3 | Close_Game(+1.5),LANCE MCCULLERS JR. vs ANDRE PALLANTE,both,0.0855,0.0253,0.0215,2.9737,game_under=0.500 home_k=0.450 away_k=0.450 close=0.250,9.0,5.04,None/None,Park=Daikin Park alt=22ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.56 LHB pull=-0.69 (headwind) | temp=72.0F,PLAY
