game,home_team,away_team,script,legs,home_sp,away_sp,close_total,home_k_line,home_k_matched,p_leg_k,p_leg_f5_under,p_leg_game_under,p_joint_copula,p_joint_indep,p_book_sgp,sgp_edge,corr_lift,synergy_home,home_bp_gassed,home_avg_p4pa,home_n_high_sub_risk,adi_note,book_corr_tax,action,p_leg_home_score5,p_leg_game_over,p_leg_home_win,away_bp_gassed,away_k_line,away_k_matched,p_leg_both_sp_k,p_leg_close_game,synergy_away,away_avg_p4pa,away_n_high_sub_risk,script_d_gate,home_burn_5d,away_burn_5d,d_note
PIT @ MIL,MIL,PIT,B_Explosion,Home_Score>=5 | Game_Over_7.0 | MIL_ML_Win [lineup_integrity=0.99 n_high=5],BRANDON WOODRUFF,PAUL SKENES,7.0,,True,,,,0.2477,0.0864,0.0734,2.3731,2.867,1.0,,0.84,5,ADI=1.170 (light/carry->over),0.15,PLAY,0.3682,0.5046,0.4649,0.0,,,,,,,,,,,
CLE @ TOR,TOR,CLE,B_Explosion,Home_Score>=5 | Game_Over_8.0 | TOR_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],MAX SCHERZER,GAVIN WILLIAMS,8.0,,True,,,,0.252,0.0901,0.0766,2.2904,2.797,1.05,,0.832,5,ADI=1.245 (dense/drag->under),0.15,PLAY,0.3699,0.5216,0.4671,1.0,,,,,,,,,,,
DET @ CIN,CIN,DET,B_Explosion,Home_Score>=5 | Game_Over_9.0 | CIN_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],ANDREW ABBOTT,FRAMBER VALDEZ,9.0,,True,,,,0.2599,0.0957,0.0813,2.1958,2.716,0.7,,0.832,5,ADI=1.138 (light/carry->over),0.15,PLAY,0.3804,0.5238,0.4802,1.0,,,,,,,,,,,
LAA @ KC,KC,LAA,B_Explosion,Home_Score>=5 | Game_Over_8.5 | KC_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],NOAH CAMERON,YUSEI KIKUCHI,8.5,,True,,,,0.2639,0.0972,0.0826,2.1951,2.716,0.73,,0.832,5,ADI=1.154 (light/carry->over),0.15,PLAY,0.396,0.4908,0.5,1.0,,,,,,,,,,,
WSH @ CWS,CWS,WSH,B_Explosion,Home_Score>=5 | Game_Over_9.5 | CWS_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],BRYAN HUDSON,MILES MIKOLAS,9.5,,True,,,,0.2829,0.111,0.0944,1.9973,2.548,0.7,,0.832,5,ADI=1.174 (light/carry->over),0.15,PLAY,0.4288,0.4784,0.5414,1.0,,,,,,,,,,,
BOS @ BAL,BAL,BOS,B_Explosion,Home_Score>=5 | Game_Over_8.5 | BAL_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],BRANDON YOUNG,BRAYAN BELLO,8.5,,True,,,,0.2848,0.1128,0.0959,1.9712,2.526,1.05,,0.832,5,ADI=1.192 (dense/drag->under),0.15,PLAY,0.4169,0.5138,0.5264,1.0,,,,,,,,,,,
MIN @ TB,TB,MIN,B_Explosion,Home_Score>=5 | Game_Over_7.5 | TB_ML_Win [lineup_integrity=0.99 n_high=5],DREW RASMUSSEN,TAJ BRADLEY,7.5,,True,,,,0.3008,0.125,0.1063,1.8314,2.407,0.7,,0.832,5,ADI=1.174 (light/carry->over),0.15,PLAY,0.439,0.5138,0.5543,0.0,,,,,,,,,,,
PHI @ ATL,ATL,PHI,B_Explosion,Home_Score>=5 | Game_Over_9.0 | ATL_ML_Win [lineup_integrity=0.99 n_high=5],GRANT HOLMES,ANDREW PAINTER,9.0,,True,,,,0.3009,0.1253,0.1065,1.8249,2.401,1.05,,0.832,5,ADI=1.133 (light/carry->over),0.15,PLAY,0.4486,0.4931,0.5664,0.0,,,,,,,,,,,
COL @ NYM,NYM,COL,B_Explosion,Home_Score>=5 | Game_Over_7.5 | NYM_ML_Win [away_BP_GASSED] [lineup_integrity=0.99 n_high=5],FREDDY PERALTA,MICHAEL LORENZEN,7.5,,True,,,,0.3427,0.165,0.1403,1.4426,2.076,0.7,,0.832,5,ADI=1.230 (dense/drag->under),0.15,PLAY,0.5161,0.4908,0.6516,1.0,,,,,,,,,,,
DET @ CIN,CIN,DET,A2_Dominance,Home_SP_K_F5>=4(ANDREW ABBOTT) | F5_Under_5.1 | Game_Under_9.0,ANDREW ABBOTT,FRAMBER VALDEZ,9.0,4.5,True,0.3331,0.4953,0.4762,0.1499,0.0786,0.0668,1.2445,1.908,0.7,0.0,0.832,5,ADI=1.138 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
MIN @ TB,TB,MIN,A2_Dominance,Home_SP_K_F5>=4(DREW RASMUSSEN) | F5_Under_4.3 | Game_Under_7.5,DREW RASMUSSEN,TAJ BRADLEY,7.5,4.5,True,0.4081,0.5057,0.4862,0.1848,0.1003,0.0853,1.167,1.842,0.7,1.0,0.832,5,ADI=1.174 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
PIT @ MIL,MIL,PIT,A2_Dominance,Home_SP_K_F5>=4(BRANDON WOODRUFF) | F5_Under_4.0 | Game_Under_7.0,BRANDON WOODRUFF,PAUL SKENES,7.0,6.5,True,0.4283,0.5152,0.4954,0.1968,0.1093,0.0929,1.1184,1.801,1.0,0.0,0.84,5,ADI=1.170 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
COL @ NYM,NYM,COL,A2_Dominance,Home_SP_K_F5>=4(FREDDY PERALTA) | F5_Under_4.3 | Game_Under_7.5,FREDDY PERALTA,MICHAEL LORENZEN,7.5,6.5,True,0.3858,0.5295,0.5092,0.1846,0.104,0.0884,1.0883,1.775,0.7,1.0,0.832,5,ADI=1.230 (dense/drag->under),0.15,PLAY,,,,,,,,,,,,,,,
LAA @ KC,KC,LAA,A2_Dominance,Home_SP_K_F5>=4(NOAH CAMERON) | F5_Under_4.9 | Game_Under_8.5,NOAH CAMERON,YUSEI KIKUCHI,8.5,4.5,True,0.3882,0.5295,0.5092,0.1857,0.1047,0.089,1.0869,1.774,0.73,1.0,0.832,5,ADI=1.154 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
BOS @ BAL,BAL,BOS,A2_Dominance,Home_SP_K_F5>=4(BRANDON YOUNG) | F5_Under_4.9 | Game_Under_8.5,BRANDON YOUNG,BRAYAN BELLO,8.5,3.5,True,0.5648,0.5057,0.4862,0.2454,0.1389,0.118,1.0785,1.767,1.05,0.0,0.832,5,ADI=1.192 (dense/drag->under),0.15,PLAY,,,,,,,,,,,,,,,
CLE @ TOR,TOR,CLE,A2_Dominance,Home_SP_K_F5>=4(MAX SCHERZER) | F5_Under_4.6 | Game_Under_8.0,MAX SCHERZER,GAVIN WILLIAMS,8.0,3.5,True,0.5954,0.4976,0.4784,0.2504,0.1417,0.1205,1.0782,1.766,1.05,0.0,0.832,5,ADI=1.245 (dense/drag->under),0.15,PLAY,,,,,,,,,,,,,,,
PHI @ ATL,ATL,PHI,A2_Dominance,Home_SP_K_F5>=4(GRANT HOLMES) | F5_Under_5.1 | Game_Under_9.0,GRANT HOLMES,ANDREW PAINTER,9.0,4.5,True,0.5889,0.5271,0.5069,0.2662,0.1573,0.1337,0.99,1.692,1.05,0.0,0.832,5,ADI=1.133 (light/carry->over),0.15,PLAY,,,,,,,,,,,,,,,
DET @ CIN,CIN,DET,C_EliteDuel,Game_Under_9.0 | Both_SP_K_F5>=3(ANDREW ABBOTT/FRAMBER VALDEZ) | DET_RL+1.5,ANDREW ABBOTT,FRAMBER VALDEZ,9.0,4.5,True,,,0.4762,0.0558,0.0404,0.0343,0.6267,1.383,0.7,0.0,0.832,5,ADI=1.138 (light/carry->over),0.15,PLAY,,,,,5.5,True,0.2001,0.4237,1.0,0.832,5.0,,,,
PIT @ MIL,MIL,PIT,C_EliteDuel,Game_Under_7.0 | Both_SP_K_F5>=3(BRANDON WOODRUFF/PAUL SKENES) | PIT_RL+1.5,BRANDON WOODRUFF,PAUL SKENES,7.0,6.5,True,,,0.4954,0.0639,0.0473,0.0402,0.5867,1.349,1.0,0.0,0.84,5,ADI=1.170 (light/carry->over),0.15,PLAY,,,,,6.5,True,0.2332,0.4098,1.0,0.84,5.0,,,,
