rank,game_label,starter_name,sp_team,_side,close_total,temp_f,p_k_over,p_joint_model,p_joint_indep,corr_edge,narrative,legs,edge_note,book_odds,book_odds_note
1,PHI @ ATL,GRANT HOLMES,ATL,home,7.5,77.1,0.39996928,0.23995237,0.17814631720781327,0.06180605331659317,Script A — The Dominance: GRANT HOLMES K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.062 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
2,MIA @ SF,ADRIAN HOUSER,SF,home,7.5,54.7,0.34855896,0.21538305,0.15524816182851792,0.06013489099740982,Script A — The Dominance: ADRIAN HOUSER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.060 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
3,CLE @ TOR,GAVIN WILLIAMS,CLE,away,8.0,43.1,0.38475737,0.22990535,0.17137093248963356,0.058534419506788254,Script A — The Dominance: GAVIN WILLIAMS K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.059 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
4,SEA @ STL,GEORGE KIRBY,SEA,away,8.5,64.1,0.36331275,0.21827622,0.1618194993197918,0.056456718260049804,Script A — The Dominance: GEORGE KIRBY K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.056 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
5,PIT @ MIL,BRANDON WOODRUFF,MIL,home,7.5,65.2,0.3670393,0.21284133,0.16347930112481118,0.04936203083395957,Script A — The Dominance: BRANDON WOODRUFF K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.049 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
6,BOS @ BAL,BRAYAN BELLO,BOS,away,8.5,67.6,0.44401297,0.2431877,0.19776337671875954,0.0454243190228939,Script A — The Dominance: BRAYAN BELLO K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.045 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
7,MIA @ SF,SANDY ALCANTARA,MIA,away,7.5,54.7,0.37264222,0.20870976,0.1659748443722725,0.04273491712808608,Script A — The Dominance: SANDY ALCANTARA K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.043 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
8,WSH @ CWS,MILES MIKOLAS,WSH,away,8.0,64.0,0.40703338,0.22225837,0.18129266916513442,0.04096570492982865,Script A — The Dominance: MILES MIKOLAS K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.041 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
9,CLE @ TOR,MAX SCHERZER,TOR,home,8.0,43.1,0.42117676,0.22467087,0.18759212952256205,0.037078742569684964,Script A — The Dominance: MAX SCHERZER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.037 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
10,PIT @ MIL,PAUL SKENES,PIT,away,7.5,65.2,0.42763615,0.22747168,0.1904691396713257,0.03700253977775572,Script A — The Dominance: PAUL SKENES K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.037 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
11,CHC @ LAD,EMMET SHEEHAN,LAD,home,7.5,63.1,0.43272358,0.22524557,0.1927350833296776,0.03251048184633254,Script A — The Dominance: EMMET SHEEHAN K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.033 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
12,SEA @ STL,ANDRE PALLANTE,STL,home,8.5,64.1,0.40549567,0.21164502,0.18060777294039726,0.03103724909424782,Script A — The Dominance: ANDRE PALLANTE K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.031 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
