rank,game_label,starter_name,sp_team,_side,close_total,temp_f,p_k_over,p_joint_model,p_joint_indep,corr_edge,narrative,legs,edge_note,book_odds,book_odds_note
1,SEA @ STL,GEORGE KIRBY,SEA,away,8.5,70.8,0.34814793,0.21827622,0.15506508744955064,0.06321113013029098,Script A — The Dominance: GEORGE KIRBY K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.063 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
2,MIA @ SF,ADRIAN HOUSER,SF,home,7.5,54.4,0.34855896,0.21538305,0.15524816182851792,0.06013489099740982,Script A — The Dominance: ADRIAN HOUSER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.060 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
3,BOS @ BAL,BRAYAN BELLO,BOS,away,8.5,69.4,0.38277718,0.22687866,0.1704889578640461,0.05638970007300376,Script A — The Dominance: BRAYAN BELLO K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.056 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
4,CLE @ TOR,GAVIN WILLIAMS,CLE,away,8.0,44.8,0.37678897,0.21722259,0.16782180893421172,0.04940077733993531,Script A — The Dominance: GAVIN WILLIAMS K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.049 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
5,PIT @ MIL,BRANDON WOODRUFF,MIL,home,7.5,63.4,0.3670393,0.21284133,0.16347930112481118,0.04936203083395957,Script A — The Dominance: BRANDON WOODRUFF K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.049 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
6,WSH @ CWS,MILES MIKOLAS,WSH,away,8.0,56.8,0.36744016,0.21043903,0.16365784908533096,0.04678117727041245,Script A — The Dominance: MILES MIKOLAS K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.047 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
7,PHI @ ATL,GRANT HOLMES,ATL,home,7.5,80.6,0.40826398,0.22687866,0.18184077728986742,0.04503788064718245,Script A — The Dominance: GRANT HOLMES K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.045 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
8,MIA @ SF,SANDY ALCANTARA,MIA,away,7.5,54.4,0.37264222,0.20870976,0.1659748443722725,0.04273491712808608,Script A — The Dominance: SANDY ALCANTARA K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.043 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
9,ATH @ TEX,LUIS SEVERINO,ATH,away,7.5,87.3,0.39300603,0.21248248,0.17504488431215287,0.03743759788274764,Script A — The Dominance: LUIS SEVERINO K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.037 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
10,PIT @ MIL,PAUL SKENES,PIT,away,7.5,63.4,0.42763615,0.22747168,0.1904691396713257,0.03700253977775572,Script A — The Dominance: PAUL SKENES K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.037 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
11,COL @ NYM,MICHAEL LORENZEN,COL,away,8.5,55.1,0.36830962,0.2003402,0.164045103430748,0.03629509305953979,Script A — The Dominance: MICHAEL LORENZEN K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.036 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
12,BOS @ BAL,BRANDON YOUNG,BAL,home,8.5,69.4,0.43595058,0.22687866,0.19417238711118698,0.03270627082586289,Script A — The Dominance: BRANDON YOUNG K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.033 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
13,CHC @ LAD,EMMET SHEEHAN,LAD,home,7.5,63.9,0.43272358,0.22524557,0.1927350833296776,0.03251048184633254,Script A — The Dominance: EMMET SHEEHAN K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.033 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
14,LAA @ KC,NOAH CAMERON,KC,home,8.5,66.7,0.3953279,0.20730482,0.17607904482483863,0.031225775593519217,Script A — The Dominance: NOAH CAMERON K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.031 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
15,CLE @ TOR,MAX SCHERZER,TOR,home,8.0,44.8,0.40758446,0.21219729,0.18153811785578727,0.03065917101502419,Script A — The Dominance: MAX SCHERZER K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.031 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
16,WSH @ CWS,BRYAN HUDSON,CWS,home,8.0,56.8,0.43039206,0.22177206,0.19169662205576898,0.030075437742471678,Script A — The Dominance: BRYAN HUDSON K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.030 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
17,CHC @ LAD,JAMESON TAILLON,CHC,away,7.5,63.9,0.40723366,0.20700084,0.18138187013864518,0.025618966591358178,Script A — The Dominance: JAMESON TAILLON K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.026 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
18,COL @ NYM,FREDDY PERALTA,NYM,home,8.5,55.1,0.47788343,0.23658827,0.21284927898049355,0.023738990491628642,Script A — The Dominance: FREDDY PERALTA K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.024 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
19,SEA @ STL,ANDRE PALLANTE,STL,home,8.5,70.8,0.40671298,0.20293762,0.18114996088147164,0.02178765701651572,Script A — The Dominance: ANDRE PALLANTE K>=5.5 + Game Under 8.0,SP_K>=5.5 | Game_Total<8.0,+0.022 vs independence (book underpricing),STUB,FanDuel/BetMGM line not in local data — use correlation edge only
