date,game,home_abbr,away_abbr,model,bet_type,pick_direction,model_prob,P_true,Retail_Implied_Prob,edge,retail_american_odds,tier,dollar_stake,signal_flags,result,profit_loss,graded_at
2026-03-27,Los Angeles Angels @ Houston Astros,HOU,LAA,Totals,Total 8.5,OVER,0.6023,,0.5238095238095238,0.0785,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-03-28,Minnesota Twins @ Baltimore Orioles,BAL,MIN,Totals,Total 8.5,OVER,0.6292,,0.5238095238095238,0.1054,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-03-28,Los Angeles Angels @ Houston Astros,HOU,LAA,Totals,Total 8.5,OVER,0.6554,,0.5238095238095238,0.1316,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-03-28,Tampa Bay Rays @ St. Louis Cardinals,STL,TB,Totals,Total 8.5,OVER,0.5801,,0.5238095238095238,0.0563,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-03-29,Minnesota Twins @ Baltimore Orioles,BAL,MIN,Totals,Total 8.5,OVER,0.6214,,0.5238095238095238,0.0976,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-03-29,Los Angeles Angels @ Houston Astros,HOU,LAA,Totals,Total 8.5,OVER,0.6175,,0.5238095238095238,0.0937,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-03-29,Oakland Athletics @ Toronto Blue Jays,TOR,ATH,Totals,Total 8.5,OVER,0.5823,,0.5238095238095238,0.0585,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-03-30,Texas Rangers @ Baltimore Orioles,BAL,TEX,Totals,Total 8.5,OVER,0.6866,,0.5238095238095238,0.1628,-110.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-03-30,Colorado Rockies @ Toronto Blue Jays,TOR,COL,Totals,Total 8.5,OVER,0.5418,,0.5238095238095238,0.018,-110.0,2,9.44,,WIN,8.58,2026-04-22T13:47:45+00:00
2026-03-31,Texas Rangers @ Baltimore Orioles,BAL,TEX,Totals,Total 8.5,OVER,0.6096,,0.5238095238095238,0.0858,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
