home_team,away_team,sp,line,pred_mean,model_over,implied_over,ump_k_above_avg,side,game_date,actual_k,hit_over,model_pick_over,model_correct,edge
ATL,MIA,CHRIS PADDACK,3.5,4.67,0.7218,0.4674,,away,2026-04-15,7,1,1,1,0.2544
ATL,MIA,BRYCE ELDER,4.5,4.95,0.5749,0.4566,,home,2026-04-15,4,0,1,0,0.1182999999999999
CIN,SF,TYLER MAHLE,4.5,5.91,0.7576,0.5333,,away,2026-04-15,4,0,1,0,0.2243
CIN,SF,RHETT LOWDER,3.5,3.8,0.5547,0.4858,,home,2026-04-15,6,1,1,1,0.0688999999999999
CWS,TB,SEAN BURKE,4.5,6.13,0.7856,0.4561,,home,2026-04-15,1,0,1,0,0.3294999999999999
DET,KC,SETH LUGO,4.5,5.06,0.6072,0.4799,,away,2026-04-15,7,1,1,1,0.1272999999999999
DET,KC,JACK FLAHERTY,5.5,5.21,0.4275,0.4209,,home,2026-04-15,7,1,0,0,0.0065999999999999
MIL,TOR,DYLAN CEASE,6.5,9.2,0.8693,0.5527,,away,2026-04-15,2,0,1,0,0.3166
MIL,TOR,CHAD PATRICK,4.5,2.85,0.1568,0.4398,,home,2026-04-15,6,1,0,0,-0.283
NYY,LAA,JACK KOCHANOWICZ,3.5,5.34,0.8113,0.4348,,away,2026-04-15,5,1,1,1,0.3765
NYY,LAA,LUIS GIL,4.5,6.52,0.8347,0.513,,home,2026-04-15,6,1,1,1,0.3217
PHI,CHC,SHOTA IMANAGA,5.5,7.51,0.8196,0.5047,,away,2026-04-15,4,0,1,0,0.3148999999999999
CLE,BAL,SHANE BAZ,4.5,5.0,0.5778,0.5373,,away,2026-04-16,9,1,1,1,0.0404999999999999
CLE,BAL,PARKER MESSICK,5.5,6.26,0.6029,0.5225,,home,2026-04-16,6,1,1,1,0.0804
BOS,DET,CASEY MIZE,4.5,5.1,0.5339,0.5681,,away,2026-04-17,4,0,1,0,-0.0342
BOS,DET,RANGER SUAREZ,4.5,3.73,0.3217,0.5159,,home,2026-04-17,7,1,0,0,-0.1942
CLE,BAL,CHRIS BASSITT,3.5,2.54,0.2628,0.5611,,away,2026-04-17,5,1,0,0,-0.2983
CLE,BAL,TANNER BIBEE,5.5,4.52,0.3132,0.5363,,home,2026-04-17,2,0,0,1,-0.2231
MIA,MIL,JANSON JUNK,3.5,3.34,0.4101,0.5523,,home,2026-04-17,4,1,0,0,-0.1422
NYY,KC,MICHAEL WACHA,4.5,5.85,0.6226,0.4858,,away,2026-04-17,6,1,1,1,0.1368
NYY,KC,CAM SCHLITTLER,5.5,6.6,0.5739,0.5717,,home,2026-04-17,6,1,1,1,0.0021999999999999
PHI,ATL,TAIJUAN WALKER,3.5,4.72,0.6322,0.4265,,home,2026-04-17,4,1,1,1,0.2057
PIT,TB,NICK MARTINEZ,3.5,2.97,0.3433,0.5446,,away,2026-04-17,3,0,0,1,-0.2012999999999999
PIT,TB,BUBBA CHANDLER,4.5,5.35,0.5605,0.5008,,home,2026-04-17,3,0,1,0,0.0596999999999999
WSH,SF,LOGAN WEBB,5.5,5.32,0.4221,0.4674,,away,2026-04-17,4,0,0,1,-0.0453
WSH,SF,ZACK LITTELL,3.5,3.21,0.3895,0.4295,,home,2026-04-17,6,1,0,0,-0.0399999999999999
ATH,CWS,ERICK FEDDE,4.5,4.16,0.4,0.4165,-0.0024,away,2026-04-18,3,0,0,1,-0.0164999999999999
ATH,CWS,LUIS SEVERINO,3.5,6.42,0.8442,0.6312,-0.0024,home,2026-04-18,3,0,1,0,0.2129999999999999
BOS,DET,TARIK SKUBAL,9.5,5.36,,0.5311,0.0,away,2026-04-18,4,0,0,1,
CLE,BAL,DEAN KREMER,4.5,5.28,0.583,0.4693,0.0066,away,2026-04-18,11,1,1,1,0.1136999999999999
CLE,BAL,GAVIN WILLIAMS,6.5,6.64,0.4802,0.553,0.0066,home,2026-04-18,7,1,0,0,-0.0728
HOU,STL,ANDRE PALLANTE,3.5,2.46,0.2378,0.4182,-0.0108,away,2026-04-18,4,1,0,0,-0.1804
HOU,STL,LANCE MCCULLERS JR.,4.5,5.28,0.5858,0.5598,-0.0108,home,2026-04-18,5,1,1,1,0.026
MIA,MIL,BRANDON WOODRUFF,3.5,4.53,0.6358,0.4797,-0.0118,away,2026-04-18,1,0,1,0,0.1561
MIA,MIL,SANDY ALCANTARA,3.5,4.5,0.6375,0.4899,-0.0118,home,2026-04-18,4,1,1,1,0.1475999999999999
PHI,ATL,CHRIS SALE,7.5,5.9,,0.4959,0.0019,away,2026-04-18,8,1,0,0,
SEA,TEX,NATHAN EOVALDI,5.5,6.71,0.6297,0.5634,0.0553,away,2026-04-18,5,0,1,0,0.0663
SEA,TEX,GEORGE KIRBY,5.5,6.04,0.5367,0.5516,0.0553,home,2026-04-18,3,0,1,0,-0.0149
WSH,SF,CADE CAVALLI,5.5,3.03,0.101,0.5829,0.0058,home,2026-04-18,1,0,0,1,-0.4819
