home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_f5_home,actual_f5_away,actual_f5_win
CLE,HOU,Parker Messick,Ryan Weiss,0.8,0.798,2.458,,,
TB,CIN,Steven Matz,Chase Burns,0.435,0.547,-0.238,,,
MIA,STL,Chris Paddack,Dustin May,0.623,0.599,0.678,,,
DET,MIL,Keider Montero,Kyle Harrison,0.588,0.544,0.611,,,
WSH,ATL,Foster Griffin,Reynaldo López,0.731,0.738,1.323,,,
BOS,NYY,Connelly Early,Luis Gil,0.345,0.462,-1.876,,,
NYM,MIN,Nolan McLean,Simeon Woods Richardson,0.829,0.721,1.741,,,
KC,BAL,Kris Bubic,Shane Baz,0.703,0.644,0.263,,,
CHC,PHI,Shota Imanaga,Jesús Luzardo,0.731,0.606,0.778,,,
TEX,PIT,,Carmen Mlodzinski,0.656,0.617,0.216,,,
COL,SD,,Randy Vásquez,0.547,0.561,-1.052,,,
LAA,TOR,Jack Kochanowicz,Patrick Corbin,0.59,0.512,-0.408,,,
SEA,ATH,Luis Castillo,Jacob Lopez,0.588,0.469,-1.177,,,
AZ,CWS,Merrill Kelly,Sean Burke,0.69,0.661,0.542,,,
SF,LAD,Landen Roupp,Yoshinobu Yamamoto,0.699,0.595,0.161,,,
