date,game,model,bet_type,pick_direction,model_prob,P_true,Retail_Implied_Prob,edge,retail_american_odds,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,home_bullpen_xfip,away_bullpen_xfip,bullpen_xfip_diff,signal_flags,projected_total_adj,k_lambda,k_edge_runs,sim_mean_k,prob_poisson,prob_mc,pitch_limit,failure_rate,edge_to_failure_ratio,steam_bias_applied,market_delta_k,steam_flag,steam_juice_lean,steam_sharp_book
2026-04-21,Houston Astros @ Cleveland Guardians,ML,Moneyline,HOME,0.711,0.4013,0.5661,0.1449,-138.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,ML,Moneyline,AWAY,0.289,0.5987,0.4339,-0.1449,125.0,False,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,Totals,Total 9.5,OVER,0.2644,0.4665,0.4605,-0.1961,108.0,False,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,Totals,Total 9.5,UNDER,0.7356,0.5335,0.5395,0.1961,-129.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,Runline,Runline -1.5,HOME -1.5,0.773,,0.2579,0.5151,270.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,Runline,Runline -1.5,AWAY +1.5,0.227,,0.7421,-0.5151,-350.0,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,F5,F5 Moneyline,HOME,0.798,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,F5,F5 Moneyline,AWAY,0.202,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,NRFI,NRFI,NRFI,0.413,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Houston Astros @ Cleveland Guardians,NRFI,YRFI,YRFI,0.587,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,ML,Moneyline,HOME,0.717,,0.0288,0.6882,3300.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,ML,Moneyline,AWAY,0.283,,0.9712,-0.6882,-10000.0,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,Totals,Total 14.5,OVER,0.4776,0.5176,0.5144,-0.0368,-115.0,True,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,Totals,Total 14.5,UNDER,0.5224,0.4824,0.4856,0.0368,-102.0,True,True,1.0,18.0,True,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,Runline,Runline -1.5,HOME -1.5,0.577,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,Runline,Runline -1.5,AWAY +1.5,0.423,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,F5,F5 Moneyline,HOME,0.547,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,F5,F5 Moneyline,AWAY,0.453,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,NRFI,NRFI,NRFI,0.594,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Cincinnati Reds @ Tampa Bay Rays,NRFI,YRFI,YRFI,0.406,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,ML,Moneyline,HOME,0.723,0.0644,0.0622,0.6608,1450.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,ML,Moneyline,AWAY,0.277,0.9356,0.9378,-0.6608,-3500.0,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,Totals,Total 7.5,OVER,0.7119,0.4576,0.5422,0.1697,-119.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,Totals,Total 7.5,UNDER,0.2881,0.5424,0.4578,-0.1697,118.0,False,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,Runline,Runline -1.5,HOME -1.5,0.5363,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,Runline,Runline -1.5,AWAY +1.5,0.4637,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,F5,F5 Moneyline,HOME,0.544,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,F5,F5 Moneyline,AWAY,0.456,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,NRFI,NRFI,NRFI,0.857,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Milwaukee Brewers @ Detroit Tigers,NRFI,YRFI,YRFI,0.143,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,ML,Moneyline,HOME,0.363,0.0588,0.0823,0.2807,1060.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,ML,Moneyline,AWAY,0.637,0.9412,0.9177,-0.2807,-2500.0,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,Totals,Total 8.5,OVER,0.4943,0.5089,0.4932,0.0011,-104.0,True,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,Totals,Total 8.5,UNDER,0.5057,0.4911,0.5068,-0.0011,-110.0,True,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,Runline,Runline -1.5,HOME -1.5,0.5746,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,Runline,Runline -1.5,AWAY +1.5,0.4254,,,,,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,F5,F5 Moneyline,HOME,0.599,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,F5,F5 Moneyline,AWAY,0.401,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,NRFI,NRFI,NRFI,0.79,0.51,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,St. Louis Cardinals @ Miami Marlins,NRFI,YRFI,YRFI,0.21,0.49,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,ML,Moneyline,HOME,0.406,0.7638,0.754,-0.348,-350.0,False,False,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,ML,Moneyline,AWAY,0.594,0.2362,0.246,0.348,294.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,Totals,Total 10.5,OVER,0.6452,0.5432,0.5148,0.1304,-113.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,Totals,Total 10.5,UNDER,0.3548,0.4568,0.4852,-0.1304,100.0,False,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,Runline,Runline -1.5,HOME -1.5,0.4931,0.5363,0.5314,-0.0383,-128.0,False,True,,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,Runline,Runline -1.5,AWAY +1.5,0.5069,0.4637,0.4686,0.0383,102.0,False,True,1.0,,False,,,,,,,,,,,,,,,,,,
2026-04-21,Atlanta Braves @ Washington Nationals,F5,F5 Moneyline,HOME,0.738,,,,,True,False,,,False,,,,,,,,,,,,,,,,,,
