bet_count,win_rate,roi,total_pnl,staked,brier,sanity,edge_tier2,edge_tier1,odds_floor
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.035,-225
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.035,-200
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.035,-300
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.035,-250
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.035,-150
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.035,-175
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.04,-300
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.04,-250
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.04,-250
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.04,-300
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.035,-150
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.035,-175
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.04,-150
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.04,-175
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.04,-200
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.04,-225
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.035,-300
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.035,-250
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.035,-225
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.01,0.035,-200
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.04,-200
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.04,-225
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.04,-150
11,0.4545,0.4644,178.8,385.04,0.2544,0.05,0.005,0.04,-175
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.01,0.03,-150
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.01,0.03,-175
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.01,0.03,-200
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.01,0.03,-225
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.005,0.03,-150
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.005,0.03,-175
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.01,0.03,-300
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.01,0.03,-250
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.005,0.03,-300
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.005,0.03,-250
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.005,0.03,-225
11,0.4545,0.4223,167.42,396.42,0.2544,0.05,0.005,0.03,-200
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.04,-250
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.04,-300
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.035,-150
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.035,-175
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.035,-250
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.035,-300
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.04,-225
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.04,-200
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.035,-200
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.035,-225
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.035,-175
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.035,-150
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.04,-150
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.04,-175
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.04,-200
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.04,-225
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.04,-175
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.04,-150
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.04,-250
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.005,0.04,-300
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.035,-200
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.035,-225
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.035,-250
20,0.5,0.4052,310.09,765.31,0.24457,0.08,0.01,0.035,-300
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.02,-200
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.02,-225
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.02,-250
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.02,-300
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.025,-150
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.025,-175
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.025,-200
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.025,-225
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.025,-250
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.025,-300
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.02,-150
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.005,0.02,-175
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.02,-150
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.02,-175
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.025,-150
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.025,-175
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.025,-200
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.025,-225
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.02,-200
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.02,-225
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.025,-300
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.025,-250
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.02,-300
11,0.4545,0.3851,156.76,407.08,0.2544,0.05,0.01,0.02,-250
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.005,0.03,-175
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.005,0.03,-150
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.01,0.03,-300
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.01,0.03,-250
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.005,0.03,-200
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.005,0.03,-225
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.005,0.03,-250
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.005,0.03,-300
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.01,0.03,-175
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.01,0.03,-150
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.01,0.03,-200
20,0.5,0.3846,298.71,776.69,0.24457,0.08,0.01,0.03,-225
20,0.5,0.3658,288.05,787.35,0.24457,0.08,0.005,0.025,-150
20,0.5,0.3658,288.05,787.35,0.24457,0.08,0.005,0.025,-175
