feature,gain,model
vegas_implied_home,0.062094484,run_line
vegas_implied_away,0.05640947,run_line
sp_xrv_diff,0.04836159,run_line
close_ml_home,0.043229934,run_line
close_ml_away,0.026045576,run_line
sp_xwoba_diff,0.022461412,run_line
batting_matchup_edge,0.021750856,run_line
sp_kminusbb_diff,0.021368977,run_line
away_sp_xrv_per_pitch,0.020685378,run_line
away_bat_vs_home_sp,0.01985468,run_line
away_sp_gb_pct,0.018987192,run_line
home_bat_xwoba_vs_lhp,0.017842865,run_line
home_bat_vs_away_sp,0.017779155,run_line
home_sp_gb_pct,0.017145019,run_line
temp_f,0.016580831,run_line
home_bat_bb_vs_lhp,0.016101928,run_line
away_sp_era_minus_xera,0.016022073,run_line
home_bat_bb_vs_rhp,0.015746977,run_line
away_bat_bb_vs_lhp,0.015435506,run_line
away_sp_xwoba_against,0.015366047,run_line
away_sp_xera_pctl,0.015285041,run_line
home_bat_xwoba_vs_rhp,0.014936902,run_line
home_sp_era_minus_xera,0.014774088,run_line
home_sp_bb_pct_pctl,0.014689979,run_line
park_factor,0.014686277,run_line
home_sp_k_minus_bb,0.014626319,run_line
home_sp_bb_pct,0.014467765,run_line
away_sp_whiff_pctl,0.013998725,run_line
home_sp_xrv_per_pitch,0.013978178,run_line
away_sp_fb_velo_pctl,0.013787463,run_line
away_sp_bb_pct,0.013740118,run_line
home_sp_xwoba_against,0.01356192,run_line
home_sp_arm_angle,0.013515416,run_line
away_bat_k_vs_lhp,0.0131451255,run_line
sp_velo_diff,0.0131302085,run_line
away_bat_k_vs_rhp,0.013030053,run_line
away_sp_k_minus_bb,0.0129815275,run_line
game_month,0.012629317,run_line
away_sp_age_pit,0.012449246,run_line
home_sp_age_pit,0.012433628,run_line
sp_k_pct_diff,0.0120482445,run_line
home_sp_whiff_pctl,0.01204055,run_line
home_sp_xera_pctl,0.011469043,run_line
away_bat_xwoba_vs_lhp,0.011459968,run_line
away_sp_ff_velo,0.01110614,run_line
wind_mph,0.010989625,run_line
humidity,0.010840938,run_line
home_sp_k_pct_pctl,0.010839381,run_line
away_sp_bb_pct_pctl,0.010744559,run_line
away_sp_k_pct_pctl,0.010542182,run_line
away_bat_xwoba_vs_rhp,0.010520693,run_line
home_bat_k_vs_lhp,0.010099116,run_line
home_sp_k_pct,0.010089061,run_line
home_sp_fb_spin_pctl,0.00966093,run_line
park_gb,0.009447935,run_line
home_sp_fb_velo_pctl,0.009044167,run_line
away_sp_fb_spin_pctl,0.007863465,run_line
park_fip,0.007589395,run_line
sp_age_diff,0.0075104316,run_line
away_sp_arm_angle,0.0072829355,run_line
away_sp_k_pct,0.007063241,run_line
